Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,8.125,8.71875,8.09375,8.625,6.573084354400635,35659200
1995-11-20,8.59375,8.8125,8.1875,8.3125,6.334925651550293,8434000
1995-11-21,8.25,8.28125,7.9375,8.15625,6.215850830078125,6440000
1995-11-22,8.125,8.53125,8.125,8.40625,6.406371593475342,3480800
1995-11-24,8.46875,8.71875,8.4375,8.71875,6.644528865814209,1279200
1995-11-27,8.71875,8.90625,8.625,8.75,6.668346405029297,2403200
1995-11-28,8.75,8.78125,8.5,8.625,6.573084354400635,1054800
1995-11-29,8.59375,8.96875,8.5625,8.75,6.668346405029297,1331200
1995-11-30,8.84375,9.1875,8.8125,9.09375,6.930315017700195,2426000
1995-12-01,9.09375,9.125,8.9375,9.0,6.85886812210083,978400
1995-12-04,9.03125,9.09375,8.84375,8.90625,6.787421703338623,594000
1995-12-05,8.90625,8.90625,8.625,8.78125,6.6921586990356445,1148800
1995-12-06,8.75,9.0,8.75,8.8125,6.715976715087891,1216000
1995-12-07,8.875,8.90625,8.6875,8.75,6.668346405029297,641200
1995-12-08,8.71875,8.96875,8.625,8.96875,6.8350510597229,668800
1995-12-11,9.0,9.09375,8.96875,9.09375,6.930315017700195,660000
1995-12-12,9.03125,9.0625,8.71875,8.75,6.668346405029297,971600
1995-12-13,8.8125,8.8125,8.53125,8.6875,6.6207146644592285,528400
1995-12-14,8.71875,8.71875,8.4375,8.4375,6.430188179016113,639200
1995-12-15,8.5,8.5625,8.34375,8.375,6.3825578689575195,1366400
1995-12-18,8.375,8.40625,8.25,8.28125,6.311111927032471,741600
1995-12-19,8.25,8.53125,8.21875,8.4375,6.430188179016113,643600
1995-12-20,8.46875,8.6875,8.46875,8.625,6.573084354400635,360400
1995-12-21,8.59375,8.78125,8.5625,8.6875,6.6207146644592285,301600
1995-12-22,8.71875,8.75,8.625,8.75,6.668346405029297,208400
1995-12-26,8.71875,8.71875,8.5,8.53125,6.501633167266846,240000
1995-12-27,8.625,8.84375,8.625,8.84375,6.739792346954346,351600
1995-12-28,8.875,8.90625,8.78125,8.8125,6.715976715087891,344400
1995-12-29,8.78125,8.84375,8.65625,8.71875,6.644528865814209,219200
1996-01-02,8.71875,8.78125,8.65625,8.75,6.668346405029297,169200
1996-01-03,8.78125,8.9375,8.65625,8.71875,6.644528865814209,682000
1996-01-04,8.75,8.8125,8.53125,8.65625,6.596897125244141,414800
1996-01-05,8.53125,8.59375,8.28125,8.4375,6.430188179016113,773600
