Date,Open,High,Low,Close,Adj Close,Volume
1995-07-10,11.8125,12.25,11.8125,12.25,6.828619480133057,5438000
1995-07-11,12.5625,12.5625,12.375,12.5,6.967978000640869,4907000
1995-07-12,12.5,13.0625,12.4375,13.0625,7.2815399169921875,1055800
1995-07-13,13.0,13.125,12.9375,13.0625,7.2815399169921875,1373600
1995-07-14,13.0,13.0625,12.9375,13.0,7.246701240539551,985600
1995-07-17,13.0,13.0,12.875,12.9375,7.211859703063965,947600
1995-07-18,12.9375,12.9375,12.5625,12.625,7.037659645080566,727400
1995-07-19,12.5625,12.5625,11.6875,11.875,6.619581699371338,558200
1995-07-20,11.75,11.8125,11.75,11.8125,6.584742546081543,464600
1995-07-21,11.875,12.1875,11.875,12.0625,6.724099159240723,721200
1995-07-24,12.0625,12.25,12.0625,12.0625,6.724099159240723,509000
1995-07-25,12.125,12.375,12.0625,12.125,6.758942127227783,847000
1995-07-26,12.25,12.5625,12.25,12.5625,7.0028252601623535,1584800
1995-07-27,12.5,12.875,12.5,12.875,7.17702054977417,2082600
1995-07-28,12.875,13.6875,12.6875,13.6875,7.62993860244751,14640800
1995-07-31,13.625,13.625,13.25,13.5,7.52541971206665,2544600
1995-08-01,13.4375,13.4375,13.25,13.3125,7.420900344848633,1956000
1995-08-02,13.3125,13.3125,12.625,12.6875,7.072502613067627,2307600
1995-08-03,12.5625,13.0,12.5625,13.0,7.246701240539551,1762800
1995-08-04,12.875,12.9375,12.5,12.6875,7.072502613067627,903800
1995-08-07,12.625,12.625,12.4375,12.5625,7.0028252601623535,837000
1995-08-08,12.5,12.5625,12.4375,12.4375,6.933144569396973,729000
1995-08-09,12.4375,12.4375,12.1875,12.25,6.828619480133057,586600
1995-08-10,12.25,12.5625,12.25,12.375,6.898303508758545,1319400
1995-08-11,12.375,12.625,12.375,12.5,6.967978000640869,1152000
1995-08-14,12.5,12.5,12.125,12.25,6.828619480133057,379800
1995-08-15,12.25,12.375,12.25,12.3125,6.86345911026001,349600
1995-08-16,12.4375,12.5,12.3125,12.375,6.898303508758545,440200
1995-08-17,12.375,12.5625,12.3125,12.5625,7.0028252601623535,410600
1995-08-18,12.5625,12.5625,12.1875,12.25,6.828619480133057,598800
1995-08-21,12.3125,12.4375,12.125,12.125,6.758942127227783,440400
1995-08-22,12.1875,12.25,11.875,12.0,6.6892595291137695,444200
1995-08-23,12.0625,12.0625,11.5625,11.8125,6.584742546081543,193200
1995-08-24,11.8125,11.8125,11.5625,11.625,6.480225563049316,1284000
