Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,7.90625,11.4375,7.5625,10.0,5.556197166442871,17149800
2000-12-11,11.34375,11.375,9.9375,10.59375,5.886096477508545,2919200
2000-12-12,10.609375,10.625,9.6875,9.9375,5.52147102355957,1077400
2000-12-13,10.375,10.4375,9.875,9.9375,5.52147102355957,422400
2000-12-14,9.992188453674316,10.125,9.9375,10.0625,5.59092378616333,265400
2000-12-15,10.125,10.125,9.0,10.0625,5.59092378616333,950200
2000-12-18,10.25,10.25,9.71875,10.03125,5.573561191558838,483600
2000-12-19,10.023438453674316,10.03125,9.625,9.8125,5.452019691467285,457400
2000-12-20,9.6875,9.8125,9.0,9.125,5.070031642913818,1228800
2000-12-21,9.03125,9.25,8.875,9.09375,5.052669048309326,1017400
2000-12-22,9.3125,9.6875,9.25,9.625,5.347841739654541,416000
2000-12-26,9.65625,9.6875,9.4375,9.5,5.2783894538879395,754000
2000-12-27,9.453125,9.5625,9.125,9.28125,5.156844615936279,361400
2000-12-28,9.3125,9.6875,9.15625,9.3125,5.1742095947265625,1048600
2000-12-29,9.5,10.0625,9.375,9.875,5.486746788024902,232800
2001-01-02,10.085938453674316,10.125,9.34375,9.625,5.347841739654541,330400
2001-01-03,9.390625,9.6875,8.75,8.8125,4.896399021148682,545400
2001-01-04,8.96875,9.5,8.8125,9.03125,5.017942428588867,287600
2001-01-05,9.054688453674316,9.25,8.875,9.0625,5.035304069519043,962000
2001-01-08,9.0,9.09375,8.75,8.75,4.861672878265381,631000
2001-01-09,8.953125,9.0,8.5,8.625,4.792222499847412,821800
2001-01-10,8.59375,8.625,8.375,8.5,4.722768306732178,976800
2001-01-11,8.515625,9.25,8.5,9.09375,5.052669048309326,1357000
2001-01-12,9.296875,9.625,9.25,9.5625,5.313113689422607,566200
2001-01-16,9.8125,10.25,9.4375,9.5,5.2783894538879395,663200
2001-01-17,9.554688453674316,9.9375,9.4375,9.6875,5.382567882537842,486000
2001-01-18,9.742188453674316,9.75,9.25,9.5,5.2783894538879395,292800
2001-01-19,9.53125,9.625,9.125,9.1875,5.104758262634277,254200
2001-01-22,9.3125,9.3125,8.8125,8.9375,4.965851783752441,764600
2001-01-23,9.125,9.1875,8.9375,8.9375,4.965851783752441,442600
2001-01-24,8.945313453674316,9.0,8.46875,8.5,4.722768306732178,1197200
2001-01-25,8.625,9.0,8.125,8.9375,4.965851783752441,985800
2001-01-26,8.75,9.6875,8.6875,9.3125,5.1742095947265625,249000
2001-01-29,9.492188453674316,10.0,9.3125,9.96875,5.538835048675537,206600
2001-01-30,9.96875,10.03125,9.46875,10.03125,5.573561191558838,188800
2001-01-31,9.882813453674316,10.03125,9.6875,9.71875,5.399930953979492,84200
2001-02-01,9.6875,10.03125,9.6875,9.9375,5.52147102355957,100600
2001-02-02,10.03125,10.875,10.0,10.8125,6.0076398849487305,477200
2001-02-05,11.03125,12.1875,10.875,11.9375,6.632714748382568,562400
2001-02-06,12.117188453674316,12.84375,11.9375,12.375,6.875795841217041,585600
2001-02-07,12.0625,12.5,11.9375,12.1875,6.771615982055664,189400
2001-02-08,12.132813453674316,12.6875,12.125,12.5625,6.979974746704102,451400
2001-02-09,12.53125,12.59375,12.0,12.0,6.66743803024292,730200
2001-02-12,12.125,12.1875,11.75,11.75,6.528534412384033,2362200
2001-02-13,11.90625,12.3125,11.6875,12.1875,6.771615982055664,228600
2001-02-14,12.25,12.3125,10.6875,11.125,6.181270599365234,1363600
2001-02-15,11.375,11.5,10.375,10.625,5.903459548950195,359400
2001-02-16,10.59375,11.1875,10.0625,10.6875,5.938188076019287,264200
2001-02-20,11.0,11.0,9.5625,9.8125,5.452019691467285,391400
2001-02-21,9.632813453674316,10.0625,9.4375,9.8125,5.452019691467285,196800
2001-02-22,9.804688453674316,9.8125,9.28125,9.28125,5.156844615936279,197400
2001-02-23,9.25,10.28125,9.1875,10.25,5.695103168487549,122800
2001-02-26,10.25,10.75,10.226563453674316,10.609375,5.894779682159424,118600
2001-02-27,10.75,11.0,10.6875,11.0,6.111816883087158,271800
2001-02-28,11.0625,11.0625,10.90625,10.9375,6.077091693878174,142600
2001-03-01,10.875,10.9375,9.4375,10.0,5.556197166442871,232000
2001-03-02,10.09375,10.125,9.625,10.0625,5.59092378616333,167000
