Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.0,77.25,70.0,70.375,52.133792877197266,22320900
1999-05-05,69.875,69.875,66.25,69.125,51.207794189453125,7565700
1999-05-06,68.0,69.375,67.0625,67.9375,50.328147888183594,2905700
1999-05-07,67.9375,74.875,66.75,74.125,54.91178894042969,4862300
1999-05-10,73.375,73.5,70.25,70.6875,52.365333557128906,2589400
1999-05-11,70.0,71.1875,69.5,70.625,52.31901168823242,1839800
1999-05-12,71.0,74.875,69.125,73.5,54.448822021484375,2659300
1999-05-13,73.25,75.25,72.5,73.1875,54.21730041503906,1142900
1999-05-14,71.25,72.25,69.0625,70.1875,51.99492645263672,2058400
1999-05-17,69.125,70.25,68.0,68.625,50.83740997314453,2075000
1999-05-18,68.25,70.4375,68.125,68.625,50.83740997314453,1407100
1999-05-19,69.375,69.8125,68.75,69.3125,51.346710205078125,727400
1999-05-20,69.5625,70.125,68.375,68.375,50.652191162109375,520800
1999-05-21,68.125,68.8125,67.5,67.5,50.00401306152344,936200
1999-05-24,67.0,67.25,65.0,65.3125,48.38350296020508,1493000
1999-05-25,64.125,65.9375,64.0,64.5,47.7816162109375,1662400
1999-05-26,65.625,66.625,63.0625,66.0625,48.93909454345703,1602900
1999-05-27,65.0,67.75,64.6875,67.75,50.18919372558594,1220500
1999-05-28,67.75,68.8125,67.0,67.9375,50.328147888183594,901900
1999-06-01,66.625,66.625,63.5625,64.1875,47.55010986328125,953900
1999-06-02,63.75,64.0625,62.0,63.25,46.85559844970703,2204300
1999-06-03,64.0,64.1875,63.125,63.625,47.13340377807617,852600
1999-06-04,64.3125,67.0,64.3125,65.375,48.4298095703125,1357400
1999-06-07,65.1875,67.75,65.1875,65.9375,48.84648895263672,891900
1999-06-08,65.375,65.6875,63.75,63.75,47.226016998291016,571700
1999-06-09,64.25,65.5,63.625,65.5,48.52239990234375,611400
1999-06-10,64.875,64.9375,63.3125,63.375,46.94822311401367,664200
1999-06-11,63.9375,64.3125,62.3125,63.25,46.85559844970703,969300
1999-06-14,63.5,64.0,60.5,61.25,45.37400436401367,821100
1999-06-15,62.875,63.375,62.25,62.75,46.485198974609375,831700
1999-06-16,63.9375,65.4375,63.9375,65.25,48.33720397949219,690300
1999-06-17,64.5,66.875,64.5,65.0,48.15201950073242,955700
1999-06-18,64.25,64.875,63.5,64.8125,48.013099670410156,613900
1999-06-21,66.6875,69.9375,66.5625,69.5,51.48561096191406,1811000
1999-06-22,70.125,70.125,67.75,68.0,50.37440872192383,1165900
1999-06-23,67.0625,67.4375,64.875,65.0,48.15201950073242,1351700
1999-06-24,66.0625,66.5,64.5,65.0625,48.19828414916992,1408900
1999-06-25,65.5,66.8125,65.375,66.25,49.0780029296875,1111500
1999-06-28,66.4375,67.5,65.75,66.5625,49.30951690673828,784600
1999-06-29,66.0,68.5,66.0,67.75,50.18919372558594,629800
1999-06-30,68.5,72.25,66.125,72.25,53.5228157043457,2127600
1999-07-01,71.375,71.4375,69.75,70.8125,52.45790100097656,813600
1999-07-02,70.5625,71.1875,69.6875,70.9375,52.55051040649414,536900
1999-07-06,70.0,71.1875,69.25,70.5,52.22637939453125,747600
1999-07-07,69.5625,70.0,68.0,68.0,50.37440872192383,648800
1999-07-08,68.0,68.875,67.1875,67.25,49.818817138671875,424400
1999-07-09,67.4375,68.1875,67.25,67.25,49.818817138671875,312700
1999-07-12,68.0,68.9375,67.875,68.375,50.652191162109375,547700
1999-07-13,68.25,68.6875,67.625,67.875,50.28179931640625,969600
1999-07-14,67.375,67.75,67.3125,67.625,50.096614837646484,888200
1999-07-15,68.0,68.0,67.5,67.9375,50.328147888183594,864700
