Date,Open,High,Low,Close,Adj Close,Volume
1993-05-03,0.9375,0.96875,0.921875,0.953125,0.744379997253418,859200
1993-05-04,0.953125,0.953125,0.90625,0.9375,0.732177197933197,1188000
1993-05-05,0.90625,0.96875,0.90625,0.9375,0.732177197933197,1298400
1993-05-06,0.921875,1.015625,0.921875,1.015625,0.7931919693946838,1876800
1993-05-07,1.015625,1.0625,1.0,1.0625,0.829801082611084,1213600
1993-05-10,1.0625,1.097656011581421,1.046875,1.09375,0.8542068600654602,940000
1993-05-11,1.09375,1.09375,1.03125,1.078125,0.8420037031173706,768800
1993-05-12,1.078125,1.082031011581421,1.0,1.0,0.7809889316558838,532800
1993-05-13,1.0625,1.0625,0.9960939884185791,1.046875,0.8175976872444153,255200
1993-05-14,1.0,1.046875,1.0,1.046875,0.8175976872444153,207200
1993-05-17,1.046875,1.0625,1.0,1.03125,0.8053949475288391,460800
1993-05-18,1.0625,1.0625,1.015625,1.03125,0.8053949475288391,278400
1993-05-19,1.015625,1.0625,1.015625,1.03125,0.8053949475288391,164800
1993-05-20,1.03125,1.0625,1.03125,1.0625,0.829801082611084,515200
1993-05-21,1.0625,1.125,1.03125,1.125,0.8786126971244812,838400
1993-05-24,1.078125,1.109375,1.0625,1.109375,0.8664096593856812,405600
1993-05-25,1.109375,1.109375,1.03125,1.09375,0.8542068600654602,303200
1993-05-26,1.09375,1.109375,1.03125,1.0625,0.829801082611084,1228000
1993-05-27,1.078125,1.09375,1.015625,1.015625,0.7931919693946838,1132800
1993-05-28,1.0,1.03125,0.96875,0.96875,0.7565832138061523,1062400
1993-06-01,1.0,1.0,0.9375,0.9375,0.732177197933197,1884000
1993-06-02,0.9375,0.9375,0.78125,0.859375,0.6711625456809998,2239200
1993-06-03,0.859375,0.875,0.8125,0.875,0.6833654046058655,525600
1993-06-04,0.84375,1.0,0.84375,1.0,0.7809889316558838,482400
1993-06-07,1.03125,1.03125,0.9375,1.0,0.7809889316558838,964000
1993-06-08,1.03125,1.03125,0.953125,1.03125,0.8053949475288391,470400
1993-06-09,1.03125,1.0625,1.0,1.0625,0.829801082611084,627200
1993-06-10,1.0625,1.09375,1.0,1.0625,0.829801082611084,232800
1993-06-11,1.0625,1.09375,1.0,1.0,0.7809889316558838,234400
1993-06-14,1.0625,1.0625,1.0,1.0078129768371582,0.7870907187461853,244800
1993-06-15,1.0,1.03125,0.9375,1.03125,0.8053949475288391,512000
1993-06-16,1.03125,1.03125,0.96875,1.0,0.7809889316558838,188000
1993-06-17,1.03125,1.03125,0.96875,1.0,0.7809889316558838,247200
1993-06-18,1.03125,1.03125,0.96875,1.0,0.7809889316558838,104000
1993-06-21,1.03125,1.03125,0.96875,1.0,0.7809889316558838,76000
1993-06-22,1.0,1.046875,0.9375,1.0,0.7809889316558838,698400
1993-06-23,1.015625,1.109375,0.96875,1.03125,0.8053949475288391,1614400
1993-06-24,1.109375,1.21875,1.03125,1.125,0.8786126971244812,1463200
1993-06-25,1.125,1.1875,1.09375,1.125,0.8786126971244812,889600
1993-06-28,1.125,1.1875,1.125,1.1875,0.9274246096611023,940000
1993-06-29,1.1875,1.1875,1.125,1.1875,0.9274246096611023,884800
1993-06-30,1.15625,1.21875,1.15625,1.21875,0.9518304467201233,876800
1993-07-01,1.21875,1.25,1.1875,1.1875,0.9274246096611023,262400
1993-07-02,1.234375,1.25,1.1875,1.1875,0.9274246096611023,315200
1993-07-06,1.25,1.25,1.125,1.125,0.8786126971244812,216000
1993-07-07,1.09375,1.15625,1.09375,1.125,0.8786126971244812,210400
1993-07-08,1.125,1.125,1.078125,1.125,0.8786126971244812,20000
1993-07-09,1.078125,1.15625,1.078125,1.15625,0.9030186533927917,114400
1993-07-12,1.15625,1.15625,1.125,1.125,0.8786126971244812,216000
1993-07-13,1.125,1.15625,1.125,1.125,0.8786126971244812,77600
1993-07-14,1.15625,1.1875,1.125,1.125,0.8786126971244812,126400
1993-07-15,1.09375,1.15625,1.0625,1.09375,0.8542068600654602,165600
1993-07-16,1.125,1.125,1.0625,1.0625,0.829801082611084,32000
1993-07-19,1.0625,1.125,1.0,1.015625,0.7931919693946838,292800
1993-07-20,1.0625,1.0625,1.0,1.0,0.7809889316558838,131200
1993-07-21,1.0625,1.0625,1.0,1.0625,0.829801082611084,308000
1993-07-22,1.0625,1.0625,1.03125,1.0625,0.829801082611084,110400
1993-07-23,1.03125,1.09375,1.03125,1.09375,0.8542068600654602,486400
1993-07-26,1.046875,1.125,1.046875,1.0625,0.829801082611084,62400
1993-07-27,1.0625,1.125,1.0625,1.125,0.8786126971244812,220000
1993-07-28,1.09375,1.15625,1.0625,1.109375,0.8664096593856812,512800
1993-07-29,0.96875,1.03125,0.8125,0.828125,0.6467567682266235,2735200
1993-07-30,0.875,0.875,0.8125,0.8125,0.6345534324645996,1904000
1993-08-02,0.84375,0.84375,0.78125,0.796875,0.6223505139350891,946400
1993-08-03,0.8125,0.8125,0.75,0.78125,0.6101477742195129,899200
1993-08-04,0.75,0.84375,0.75,0.8125,0.6345534324645996,925600
1993-08-05,0.828125,0.84375,0.78125,0.78125,0.6101477742195129,568000
1993-08-06,0.78125,0.84375,0.78125,0.84375,0.6589596271514893,522400
1993-08-09,0.78125,0.84375,0.78125,0.796875,0.6223505139350891,447200
1993-08-10,0.84375,0.84375,0.78125,0.8125,0.6345534324645996,524000
1993-08-11,0.84375,0.90625,0.84375,0.90625,0.7077712416648865,160800
1993-08-12,0.90625,0.96875,0.875,0.9375,0.732177197933197,555200
1993-08-13,0.9375,0.9375,0.875,0.90625,0.7077712416648865,211200
1993-08-16,0.875,0.9375,0.875,0.9375,0.732177197933197,1297600
1993-08-17,0.9375,0.9375,0.875,0.90625,0.7077712416648865,231200
1993-08-18,0.90625,0.9375,0.875,0.9375,0.732177197933197,529600
1993-08-19,0.9375,0.9375,0.875,0.890625,0.6955682635307312,436000
1993-08-20,0.9375,0.9375,0.875,0.890625,0.6955682635307312,344800
1993-08-23,0.875,0.9375,0.875,0.875,0.6833654046058655,89600
1993-08-24,0.9375,0.96875,0.875,0.90625,0.7077712416648865,189600
1993-08-25,0.96875,0.96875,0.875,0.90625,0.7077712416648865,282400
1993-08-26,0.96875,0.96875,0.90625,0.96875,0.7565832138061523,177600
1993-08-27,0.96875,0.96875,0.90625,0.953125,0.744379997253418,299200
1993-08-30,0.96875,1.0,0.9375,1.0,0.7809889316558838,124000
1993-08-31,1.0,1.03125,0.96875,1.03125,0.8053949475288391,389600
1993-09-01,1.03125,1.03125,0.96875,1.0,0.7809889316558838,224000
1993-09-02,1.03125,1.03125,0.96875,1.03125,0.8053949475288391,140000
1993-09-03,1.03125,1.09375,1.0,1.0625,0.829801082611084,729600
1993-09-07,1.0625,1.0625,1.0,1.015625,0.7931919693946838,259200
1993-09-08,1.03125,1.03125,0.96875,0.96875,0.7565832138061523,305600
1993-09-09,1.0,1.03125,0.96875,0.96875,0.7565832138061523,92800
1993-09-10,1.03125,1.03125,0.96875,0.96875,0.7565832138061523,299200
1993-09-13,1.03125,1.03125,0.96875,1.015625,0.7931919693946838,309600
1993-09-14,0.96875,1.03125,0.9375,0.984375,0.7687860131263733,452000
1993-09-15,1.03125,1.03125,0.953125,1.03125,0.8053949475288391,123200
1993-09-16,1.03125,1.03125,0.96875,1.03125,0.8053949475288391,433600
1993-09-17,1.03125,1.03125,0.96875,1.03125,0.8053949475288391,559200
1993-09-20,1.03125,1.03125,0.96875,0.96875,0.7565832138061523,576000
1993-09-21,1.03125,1.03125,0.90625,1.0,0.7809889316558838,258400
1993-09-22,1.0,1.0,0.9375,0.9375,0.732177197933197,560000
1993-09-23,0.9375,1.0,0.9375,0.9375,0.732177197933197,490400
1993-09-24,1.0,1.0,0.9375,1.0,0.7809889316558838,481600
1993-09-27,1.0,1.0,0.9375,1.0,0.7809889316558838,372000
1993-09-28,0.9375,1.0,0.9375,1.0,0.7809889316558838,316800
1993-09-29,1.0,1.0,0.9375,0.96875,0.7565832138061523,261600
1993-09-30,0.96875,1.03125,0.9375,1.03125,0.8053949475288391,572000
1993-10-01,1.0,1.0625,1.0,1.0,0.7809889316558838,1336800
1993-10-04,1.0,1.09375,1.0,1.09375,0.8542068600654602,413600
1993-10-05,1.09375,1.125,1.0625,1.125,0.8786126971244812,724000
1993-10-06,1.125,1.125,1.0,1.015625,0.7931919693946838,659200
1993-10-07,1.0,1.0625,1.0,1.0,0.7809889316558838,139200
1993-10-08,1.0625,1.078125,1.0625,1.0625,0.829801082611084,19200
1993-10-11,1.03125,1.0625,1.0,1.0,0.7809889316558838,284800
1993-10-12,1.0625,1.125,1.03125,1.09375,0.8542068600654602,647200
1993-10-13,1.09375,1.125,1.0625,1.0625,0.829801082611084,308000
1993-10-14,1.0625,1.0625,1.03125,1.0625,0.829801082611084,168000
1993-10-15,1.0625,1.09375,1.03125,1.03125,0.8053949475288391,451200
1993-10-18,1.03125,1.09375,1.03125,1.03125,0.8053949475288391,484800
1993-10-19,1.03125,1.09375,0.9375,1.0,0.7809889316558838,358400
1993-10-20,0.96875,1.0,0.875,1.0,0.7809889316558838,1060000
1993-10-21,0.96875,1.0,0.96875,0.984375,0.7687860131263733,335200
1993-10-22,0.96875,1.0,0.96875,0.984375,0.7687860131263733,210400
1993-10-25,1.0,1.0,0.9375,0.9375,0.732177197933197,132000
1993-10-26,0.9375,1.0,0.9375,1.0,0.7809889316558838,141600
1993-10-27,0.96875,0.96875,0.90625,0.96875,0.7565832138061523,284800
1993-10-28,0.9375,0.96875,0.90625,0.96875,0.7565832138061523,320800
1993-10-29,0.96875,1.0625,0.953125,1.0625,0.829801082611084,660800
1993-11-01,1.0,1.0625,1.0,1.0,0.7809889316558838,63200
1993-11-02,1.0625,1.09375,1.03125,1.09375,0.8542068600654602,228000
1993-11-03,1.03125,1.125,1.0,1.03125,0.8053949475288391,760800
1993-11-04,0.984375,1.0,0.96875,0.96875,0.7565832138061523,181600
1993-11-05,0.9375,1.03125,0.9375,1.03125,0.8053949475288391,184800
1993-11-08,0.96875,1.03125,0.96875,0.984375,0.7687860131263733,587200
1993-11-09,1.03125,1.03125,0.96875,1.0,0.7809889316558838,41600
1993-11-10,0.96875,1.03125,0.96875,1.0,0.7809889316558838,116000
1993-11-11,1.0,1.03125,0.9375,0.9375,0.732177197933197,148000
1993-11-12,0.96875,1.0,0.9375,0.9375,0.732177197933197,117600
1993-11-15,0.96875,1.0,0.9375,1.0,0.7809889316558838,20800
1993-11-16,1.0,1.0,0.90625,0.96875,0.7565832138061523,136800
1993-11-17,0.96875,1.0,0.90625,0.9375,0.732177197933197,176000
1993-11-18,0.96875,1.0,0.90625,0.90625,0.7077712416648865,223200
1993-11-19,0.90625,0.96875,0.90625,0.90625,0.7077712416648865,28800
1993-11-22,0.90625,0.96875,0.90625,0.90625,0.7077712416648865,66400
1993-11-23,0.921875,0.9375,0.875,0.875,0.6833654046058655,436000
1993-11-24,0.9375,0.9375,0.84375,0.875,0.6833654046058655,297600
1993-11-26,0.90625,0.9375,0.90625,0.9375,0.732177197933197,50400
1993-11-29,0.9375,0.96875,0.90625,0.953125,0.744379997253418,72800
1993-11-30,0.9375,0.9375,0.875,0.90625,0.7077712416648865,270400
1993-12-01,0.90625,0.90625,0.875,0.90625,0.7077712416648865,128800
1993-12-02,0.9375,0.9375,0.875,0.875,0.6833654046058655,52800
1993-12-03,0.875,0.9375,0.875,0.875,0.6833654046058655,52800
1993-12-06,0.9375,0.9375,0.875,0.875,0.6833654046058655,131200
1993-12-07,0.90625,0.90625,0.875,0.890625,0.6955682635307312,47200
1993-12-08,0.875,0.90625,0.84375,0.84375,0.6589596271514893,146400
1993-12-09,0.90625,0.90625,0.84375,0.90625,0.7077712416648865,60800
1993-12-10,0.90625,0.90625,0.84375,0.859375,0.6711625456809998,42400
1993-12-13,0.84375,0.875,0.8125,0.8125,0.6345534324645996,254400
1993-12-14,0.84375,0.84375,0.78125,0.84375,0.6589596271514893,224000
1993-12-15,0.84375,0.84375,0.8125,0.8125,0.6345534324645996,84000
1993-12-16,0.875,0.875,0.8125,0.828125,0.6467567682266235,111200
1993-12-17,0.84375,0.84375,0.78125,0.8125,0.6345534324645996,80800
1993-12-20,0.78125,0.84375,0.78125,0.78125,0.6101477742195129,388000
1993-12-21,0.8125,0.8125,0.75,0.75,0.585742175579071,442400
1993-12-22,0.78125,0.96875,0.71875,0.9375,0.732177197933197,1893600
1993-12-23,0.96875,0.96875,0.90625,0.90625,0.7077712416648865,564000
1993-12-27,0.921875,0.9375,0.875,0.90625,0.7077712416648865,152800
1993-12-28,0.875,0.9375,0.875,0.90625,0.7077712416648865,108000
1993-12-29,0.9375,0.9375,0.875,0.875,0.6833654046058655,126400
1993-12-30,0.875,0.9375,0.875,0.921875,0.7199743390083313,181600
1993-12-31,0.875,0.9375,0.875,0.90625,0.7077712416648865,211200
1994-01-03,0.90625,0.9375,0.875,0.9375,0.732177197933197,65600
1994-01-04,0.90625,0.9375,0.875,0.90625,0.7077712416648865,179200
1994-01-05,0.9375,0.9375,0.875,0.921875,0.7199743390083313,264800
1994-01-06,0.9375,0.9375,0.875,0.875,0.6833654046058655,131200
1994-01-07,0.9375,0.9375,0.875,0.90625,0.7077712416648865,234400
1994-01-10,0.875,0.9375,0.875,0.875,0.6833654046058655,133600
1994-01-11,0.875,0.9375,0.875,0.9375,0.732177197933197,236800
1994-01-12,0.9375,0.9375,0.875,0.890625,0.6955682635307312,294400
1994-01-13,0.875,0.90625,0.84375,0.90625,0.7077712416648865,312800
1994-01-14,0.875,0.96875,0.875,0.96875,0.7565832138061523,1928000
1994-01-17,0.96875,1.0625,0.9375,1.0625,0.829801082611084,998400
1994-01-18,1.03125,1.09375,1.03125,1.0625,0.829801082611084,954400
1994-01-19,1.03125,1.0625,1.03125,1.03125,0.8053949475288391,352000
1994-01-20,1.0625,1.0625,1.03125,1.046875,0.8175976872444153,169600
1994-01-21,1.0625,1.0625,0.96875,1.0,0.7809889316558838,288000
1994-01-24,0.96875,1.015625,0.96875,0.984375,0.7687860131263733,199200
1994-01-25,0.96875,1.0,0.90625,0.90625,0.7077712416648865,105600
1994-01-26,0.90625,0.9375,0.84375,0.84375,0.6589596271514893,129600
1994-01-27,0.90625,0.90625,0.84375,0.84375,0.6589596271514893,307200
