Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,0.0,3.90625,3.78125,3.78125,1.968127727508545,172800
1985-01-03,0.0,3.84375,3.78125,3.84375,2.0006589889526367,51200
1985-01-04,0.0,3.84375,3.6875,3.6875,1.9193310737609863,536800
1985-01-07,0.0,3.71875,3.6875,3.703125,1.927464485168457,71200
1985-01-08,0.0,3.71875,3.53125,3.5625,1.8542698621749878,279200
1985-01-09,0.0,3.75,3.53125,3.75,1.9518624544143677,1007200
1985-01-10,0.0,3.78125,3.6875,3.78125,1.968127727508545,245600
1985-01-11,0.0,3.9375,3.78125,3.875,2.0169243812561035,1120800
1985-01-14,0.0,3.9375,3.875,3.875,2.0169243812561035,1166400
1985-01-15,0.0,4.015625,3.90625,3.96875,2.0657200813293457,488000
1985-01-16,0.0,4.0,3.9375,3.96875,2.0657200813293457,140800
1985-01-17,0.0,4.0,3.9375,4.0,2.081986904144287,1787200
1985-01-18,0.0,4.03125,3.9375,4.0,2.081986904144287,140000
1985-01-21,0.0,4.21875,3.96875,4.1875,2.1795780658721924,309600
1985-01-22,0.0,4.28125,4.1875,4.25,2.2121102809906006,455200
1985-01-23,0.0,4.28125,4.1875,4.28125,2.2283763885498047,216000
1985-01-24,0.0,4.4375,4.25,4.375,2.277172565460205,480800
1985-01-25,0.0,4.46875,4.34375,4.46875,2.325969934463501,304800
1985-01-28,0.0,4.625,4.4375,4.5625,2.3747665882110596,511200
1985-01-29,0.0,4.75,4.5625,4.71875,2.4560928344726562,1680000
1985-01-30,0.0,4.8125,4.6875,4.75,2.472357749938965,1224800
1985-01-31,0.0,4.75,4.5625,4.59375,2.391030788421631,535200
1985-02-01,0.0,4.625,4.5625,4.5625,2.3747665882110596,207200
1985-02-04,0.0,4.59375,4.5625,4.59375,2.391030788421631,359200
1985-02-05,0.0,4.59375,4.40625,4.40625,2.2934389114379883,373600
1985-02-06,0.0,4.4375,4.34375,4.34375,2.2609071731567383,383200
1985-02-07,0.0,4.4375,4.3125,4.4375,2.3097033500671387,3620000
1985-02-08,0.0,4.625,4.40625,4.5625,2.3747665882110596,254400
1985-02-11,0.0,4.65625,4.53125,4.625,2.4072988033294678,105600
1985-02-12,0.0,4.625,4.5625,4.625,2.4072988033294678,31200
1985-02-13,0.0,4.625,4.53125,4.609375,2.3991644382476807,232800
1985-02-14,0.0,4.65625,4.5625,4.5625,2.3747665882110596,251200
1985-02-15,0.0,4.625,4.5625,4.625,2.4072988033294678,153600
1985-02-19,0.0,4.625,4.5625,4.5625,2.3747665882110596,160800
1985-02-20,0.0,4.6875,4.59375,4.65625,2.423562526702881,234400
1985-02-21,0.0,4.6875,4.625,4.65625,2.423562526702881,99200
1985-02-22,0.0,4.71875,4.625,4.625,2.4072988033294678,266400
1985-02-25,0.0,4.6875,4.59375,4.625,2.4072988033294678,627200
1985-02-26,0.0,4.78125,4.625,4.703125,2.4479613304138184,2411200
1985-02-27,0.0,4.78125,4.65625,4.65625,2.423562526702881,896000
1985-02-28,0.0,4.6875,4.625,4.6875,2.4398274421691895,1637600
1985-03-01,0.0,4.96875,4.71875,4.90625,2.5536856651306152,1483200
1985-03-04,0.0,4.96875,4.90625,4.90625,2.5536856651306152,420800
1985-03-05,0.0,5.0,4.90625,4.96875,2.586217164993286,734400
1985-03-06,0.0,5.09375,4.9375,5.03125,2.618748664855957,714400
1985-03-07,0.0,5.0625,4.96875,5.0,2.6024837493896484,1278400
1985-03-08,0.0,5.0625,4.9375,4.96875,2.586217164993286,1607200
1985-03-11,0.0,5.03125,4.9375,4.9375,2.5699527263641357,213600
1985-03-12,0.0,5.0,4.9375,4.953125,2.5780839920043945,429600
1985-03-13,0.0,4.96875,4.75,4.84375,2.5211551189422607,672800
1985-03-14,0.0,4.90625,4.8125,4.875,2.5374209880828857,244000
1985-03-15,0.0,4.90625,4.875,4.875,2.5374209880828857,296000
1985-03-18,0.0,4.90625,4.84375,4.84375,2.5211551189422607,216000
1985-03-19,0.0,4.90625,4.84375,4.90625,2.5536856651306152,17600
1985-03-20,0.0,4.90625,4.84375,4.875,2.5374209880828857,87200
1985-03-21,0.0,4.875,4.84375,4.84375,2.5211551189422607,64800
