Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,4.984375,4.984375,4.84375,4.84375,1.642552137374878,268000
1985-01-03,4.828125,4.96875,4.8125,4.90625,1.663745641708374,456800
1985-01-04,4.875,4.9375,4.875,4.890625,1.6584458351135254,186400
1985-01-07,4.921875,4.96875,4.890625,4.90625,1.663745641708374,335200
1985-01-08,4.90625,5.0,4.90625,4.921875,1.6690441370010376,461600
1985-01-09,4.90625,5.046875,4.90625,5.0,1.6955370903015137,466400
1985-01-10,5.03125,5.171875,5.015625,5.171875,1.7538210153579712,432000
1985-01-11,5.28125,5.28125,5.15625,5.25,1.7803127765655518,854400
1985-01-14,5.25,5.359375,5.125,5.34375,1.812105655670166,1024000
1985-01-15,5.34375,5.34375,5.21875,5.296875,1.7962093353271484,978400
1985-01-16,5.25,5.328125,5.1875,5.203125,1.7644190788269043,925600
1985-01-17,5.203125,5.234375,5.109375,5.125,1.7379248142242432,829600
1985-01-18,5.140625,5.203125,5.09375,5.15625,1.748522162437439,499200
1985-01-21,5.203125,5.296875,5.1875,5.296875,1.7962093353271484,1239200
1985-01-22,5.359375,5.359375,5.203125,5.25,1.7803127765655518,1009600
1985-01-23,5.21875,5.25,5.09375,5.15625,1.748522162437439,1063200
1985-01-24,5.203125,5.234375,5.15625,5.203125,1.7644190788269043,1792800
1985-01-25,5.125,5.28125,5.0625,5.234375,1.7750149965286255,975200
1985-01-28,5.28125,5.40625,5.25,5.375,1.822702407836914,1496000
1985-01-29,5.359375,5.484375,5.328125,5.484375,1.8597910404205322,484800
1985-01-30,5.5,5.5625,5.46875,5.515625,1.870389461517334,792000
1985-01-31,5.515625,5.546875,5.5,5.515625,1.870389461517334,476000
1985-02-01,5.5,5.515625,5.421875,5.5,1.8650907278060913,383200
1985-02-04,5.5,5.6875,5.5,5.59375,1.8968816995620728,591200
1985-02-05,5.609375,5.609375,5.5,5.515625,1.870389461517334,540000
1985-02-06,5.578125,5.578125,5.359375,5.4375,1.8438955545425415,644800
1985-02-07,5.46875,5.484375,5.40625,5.46875,1.854493260383606,159200
1985-02-08,5.5,5.5,5.453125,5.484375,1.8597910404205322,597600
1985-02-11,5.453125,5.46875,5.390625,5.4375,1.8438955545425415,416800
1985-02-12,5.40625,5.4375,5.390625,5.421875,1.838598608970642,395200
