Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,0.0,7.4375,7.375,7.375,1.1786624193191528,122800
1985-01-03,0.0,7.375,7.3125,7.3125,1.1686732769012451,49600
1985-01-04,0.0,7.375,7.3125,7.375,1.1786624193191528,98800
1985-01-07,0.0,7.5,7.375,7.5,1.1986393928527832,46400
1985-01-08,0.0,7.5625,7.40625,7.53125,1.20363450050354,114000
1985-01-09,0.0,7.625,7.53125,7.59375,1.2136223316192627,38000
1985-01-10,0.0,7.6875,7.59375,7.625,1.2186166048049927,86400
1985-01-11,0.0,7.65625,7.59375,7.59375,1.2136223316192627,23600
1985-01-14,0.0,7.6875,7.59375,7.625,1.2186166048049927,55600
1985-01-15,0.0,7.71875,7.5625,7.59375,1.2136223316192627,94800
1985-01-16,0.0,7.6875,7.625,7.6875,1.2286059856414795,174400
1985-01-17,0.0,7.75,7.625,7.65625,1.223611831665039,85600
1985-01-18,0.0,7.6875,7.59375,7.625,1.2186166048049927,30400
1985-01-21,0.0,7.65625,7.59375,7.625,1.2186166048049927,90000
1985-01-22,0.0,7.65625,7.59375,7.625,1.2186166048049927,24000
1985-01-23,0.0,7.625,7.59375,7.59375,1.2136223316192627,19200
1985-01-24,0.0,7.625,7.53125,7.59375,1.2136223316192627,44400
1985-01-25,0.0,7.5,7.375,7.40625,1.183656096458435,166000
1985-01-28,0.0,7.46875,7.40625,7.4375,1.1886502504348755,33200
1985-01-29,0.0,7.46875,7.375,7.4375,1.1886502504348755,43600
1985-01-30,0.0,7.46875,7.40625,7.46875,1.1936454772949219,26800
1985-01-31,0.0,7.46875,7.34375,7.34375,1.1736682653427124,60800
1985-02-01,0.0,7.40625,7.3125,7.375,1.1786624193191528,27200
1985-02-04,0.0,7.40625,7.34375,7.34375,1.1736682653427124,16000
1985-02-05,0.0,7.46875,7.34375,7.375,1.1786624193191528,141200
1985-02-06,0.0,7.40625,7.28125,7.40625,1.183656096458435,46000
1985-02-07,0.0,7.4375,7.375,7.4375,1.1886502504348755,36400
1985-02-08,0.0,7.46875,7.4375,7.46875,1.1936454772949219,79600
1985-02-11,0.0,7.5,7.375,7.375,1.1786624193191528,135200
1985-02-12,0.0,7.46875,7.375,7.46875,1.1936454772949219,62000
1985-02-13,0.0,7.46875,7.40625,7.4375,1.1886502504348755,20800
1985-02-14,0.0,7.53125,7.40625,7.5,1.1986393928527832,36000
1985-02-15,0.0,7.53125,7.4375,7.4375,1.1886502504348755,13200
1985-02-19,0.0,7.5625,7.46875,7.53125,1.20363450050354,88400
1985-02-20,0.0,7.5625,7.4375,7.5,1.1986393928527832,68000
1985-02-21,0.0,7.5625,7.46875,7.46875,1.1936454772949219,44000
1985-02-22,0.0,7.46875,7.40625,7.4375,1.1886502504348755,57600
1985-02-25,0.0,7.4375,7.34375,7.375,1.1786624193191528,550000
1985-02-26,0.0,7.40625,7.3125,7.375,1.1786624193191528,41600
1985-02-27,0.0,7.46875,7.40625,7.46875,1.1936454772949219,24400
1985-02-28,0.0,7.5,7.4375,7.46875,1.1936454772949219,38000
1985-03-01,0.0,7.59375,7.4375,7.5,1.1986393928527832,72000
1985-03-04,0.0,7.5625,7.5,7.53125,1.20363450050354,114400
1985-03-05,0.0,7.59375,7.46875,7.59375,1.2136223316192627,27200
