Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,25.5,25.875,24.5,24.625,16.56958770751953,4478600
1994-02-18,24.75,25.0,24.25,24.625,16.56958770751953,777900
1994-02-22,24.25,24.5,24.0,24.375,16.401371002197266,361900
1994-02-23,24.375,24.5,23.25,23.25,15.644375801086426,284500
1994-02-24,23.125,23.25,22.75,23.0,15.476165771484375,494600
1994-02-25,23.0,23.875,23.0,23.75,15.980823516845703,102000
1994-02-28,23.875,24.0,23.75,23.875,16.06494140625,115200
1994-03-01,23.75,24.0,23.125,23.25,15.644375801086426,246600
1994-03-02,22.75,22.875,22.625,22.75,15.307953834533691,355900
1994-03-03,22.75,23.0,22.75,22.875,15.392049789428711,51500
1994-03-04,23.0,23.375,22.75,23.125,15.560274124145508,145500
1994-03-07,23.125,23.25,23.0,23.0,15.476165771484375,102200
1994-03-08,23.0,23.125,22.875,23.0,15.476165771484375,34700
1994-03-09,23.125,23.125,22.875,22.875,15.392049789428711,101100
1994-03-10,22.875,23.0,22.125,22.25,14.971498489379883,220400
1994-03-11,22.125,22.375,22.0,22.375,15.055624961853027,42100
1994-03-14,22.25,22.5,22.125,22.25,14.971498489379883,11900
1994-03-15,22.75,23.0,22.5,22.75,15.307953834533691,128500
1994-03-16,22.75,22.875,22.5,22.75,15.307953834533691,93800
1994-03-17,22.875,22.875,22.5,22.625,15.223836898803711,43700
1994-03-18,22.5,22.875,22.5,22.875,15.392049789428711,125000
1994-03-21,22.75,23.125,22.75,23.125,15.560274124145508,81100
1994-03-22,23.0,23.625,23.0,23.5,15.81261157989502,91800
1994-03-23,24.25,24.875,24.25,24.25,16.317256927490234,332700
1994-03-24,24.375,24.375,24.0,24.0,16.1490421295166,113300
1994-03-25,24.0,24.25,24.0,24.0,16.1490421295166,54700
1994-03-28,24.25,24.25,23.75,24.0,16.1490421295166,67900
1994-03-29,23.875,24.0,22.5,22.5,15.139723777770996,174400
1994-03-30,22.25,22.25,22.0,22.125,14.887402534484863,198000
1994-03-31,22.25,22.375,21.5,22.0,14.803290367126465,201000
1994-04-04,21.625,21.625,21.0,21.5,14.46684455871582,206600
1994-04-05,21.5,22.75,21.5,22.75,15.307953834533691,40500
1994-04-06,22.75,22.875,22.5,22.875,15.392049789428711,31700
1994-04-07,22.875,22.875,22.625,22.875,15.392049789428711,14500
1994-04-08,22.875,22.875,22.125,22.5,15.139723777770996,29900
1994-04-11,22.75,22.75,22.25,22.625,15.223836898803711,28900
1994-04-12,22.5,22.5,22.0,22.125,14.887402534484863,56200
1994-04-13,22.25,22.375,21.25,21.75,14.635071754455566,48100
1994-04-14,21.5,21.5,21.25,21.375,14.382743835449219,81800
1994-04-15,21.375,21.375,21.25,21.375,14.382743835449219,23400
1994-04-18,21.375,21.375,20.5,20.5,13.793971061706543,119100
1994-04-19,20.5,20.5,20.0,20.125,13.54163646697998,23100
1994-04-20,20.125,20.125,19.5,19.75,13.289314270019531,72900
1994-04-21,19.625,19.875,19.5,19.75,13.289314270019531,67100
1994-04-22,19.5,19.75,19.5,19.75,13.289314270019531,8000
1994-04-25,19.5,19.625,18.25,19.625,13.205209732055664,130900
1994-04-26,19.625,21.0,19.625,20.75,13.962196350097656,172800
1994-04-28,21.0,21.125,20.75,20.875,14.046299934387207,73900
1994-04-29,21.0,23.0,21.0,23.0,15.476165771484375,166100
1994-05-02,22.75,23.75,22.625,23.75,15.980823516845703,87800
1994-05-03,23.5,23.75,23.25,23.375,15.728493690490723,55000
1994-05-04,23.5,24.0,23.375,23.5,15.81261157989502,81500
1994-05-05,23.25,23.5,23.25,23.375,15.728493690490723,14200
1994-05-06,23.125,23.25,22.375,22.5,15.139723777770996,67900
1994-05-09,22.25,22.5,21.75,22.0,14.803290367126465,65200
1994-05-10,22.0,22.0,21.75,21.875,14.719173431396484,18000
1994-05-11,21.875,21.875,21.375,21.375,14.382743835449219,24200
1994-05-12,21.5,21.5,21.25,21.25,14.298625946044922,18400
1994-05-13,21.25,21.25,20.875,20.875,14.046299934387207,68700
1994-05-16,20.75,20.75,20.0,20.125,13.54163646697998,13800
1994-05-17,20.125,20.125,19.875,19.875,13.373431205749512,18300
1994-05-18,19.875,19.875,19.5,19.75,13.289314270019531,40900
1994-05-19,19.5,19.625,18.0,19.0,12.784659385681152,772400
1994-05-20,18.875,20.0,18.875,19.875,13.373431205749512,58400
1994-05-23,20.0,20.25,20.0,20.125,13.54163646697998,12600
1994-05-24,20.25,20.25,19.875,20.0,13.45753288269043,92000
1994-05-25,19.75,20.0,19.75,20.0,13.45753288269043,36600
1994-05-26,20.125,20.25,20.125,20.25,13.625754356384277,3700
1994-05-27,20.25,20.25,19.625,19.75,13.289314270019531,15800
1994-05-31,19.5,19.5,19.375,19.375,13.0369873046875,3000
1994-06-01,19.25,19.375,19.25,19.375,13.0369873046875,17900
1994-06-02,19.625,20.0,19.625,20.0,13.45753288269043,25300
1994-06-03,20.25,21.0,20.25,20.875,14.046299934387207,60300
1994-06-06,20.75,20.875,20.625,20.75,13.962196350097656,55400
1994-06-07,20.875,21.0,20.875,21.0,14.130414009094238,34300
1994-06-08,21.0,21.0,20.875,21.0,14.130414009094238,3600
1994-06-09,21.0,21.0,20.875,20.875,14.046299934387207,3600
1994-06-10,20.75,21.125,20.75,21.0,14.130414009094238,10600
1994-06-13,21.0,21.125,20.875,21.0,14.130414009094238,9200
1994-06-14,21.0,21.0,20.25,20.5,13.793971061706543,51500
1994-06-15,21.25,21.625,21.25,21.625,14.550958633422852,63100
1994-06-16,21.75,21.75,21.625,21.75,14.635071754455566,11600
1994-06-17,22.0,22.25,21.875,22.25,14.971498489379883,25400
1994-06-20,22.0,22.0,21.75,22.0,14.803290367126465,14400
1994-06-21,22.0,22.0,21.5,21.75,14.635071754455566,30200
1994-06-22,22.0,22.5,22.0,22.5,15.139723777770996,22600
1994-06-23,22.25,22.25,21.875,21.875,14.719173431396484,4800
1994-06-24,22.0,22.0,21.75,21.75,14.635071754455566,7800
1994-06-27,21.5,21.75,21.5,21.75,14.635071754455566,6400
1994-06-28,21.5,21.5,21.125,21.5,14.46684455871582,18000
1994-06-29,21.25,21.25,21.0,21.25,14.298625946044922,15800
1994-06-30,21.5,22.0,21.375,22.0,14.803290367126465,38000
1994-07-01,22.0,22.0,21.5,21.5,14.46684455871582,13700
1994-07-05,21.5,21.875,21.5,21.875,14.719173431396484,4800
1994-07-06,21.75,22.0,21.625,21.75,14.635071754455566,39900
1994-07-07,21.75,21.75,21.75,21.75,14.635071754455566,11100
1994-07-08,21.875,22.0,21.75,21.875,14.719173431396484,16200
1994-07-11,21.75,21.875,21.625,21.875,14.719173431396484,37700
1994-07-12,22.0,22.0,21.875,22.0,14.803290367126465,16100
1994-07-13,22.0,22.0,21.75,21.75,14.635071754455566,1200
1994-07-14,21.875,22.25,21.875,22.0,14.803290367126465,28200
1994-07-15,22.125,22.125,22.0,22.125,14.887402534484863,6000
1994-07-18,21.875,22.0,21.625,21.625,14.550958633422852,17500
1994-07-19,21.75,21.875,21.625,21.75,14.635071754455566,4600
1994-07-20,21.75,22.0,21.75,22.0,14.803290367126465,15800
1994-07-21,21.75,21.75,21.25,21.5,14.46684455871582,33100
1994-07-22,21.5,21.5,21.25,21.375,14.382743835449219,5400
1994-07-25,21.625,21.75,21.5,21.625,14.550958633422852,5600
1994-07-26,21.5,22.0,21.5,22.0,14.803290367126465,26600
1994-07-27,21.75,21.75,21.5,21.5,14.46684455871582,10800
1994-07-28,21.625,21.875,21.625,21.875,14.719173431396484,29400
1994-07-29,21.875,22.125,21.75,22.0,14.803290367126465,23600
1994-08-01,21.875,22.0,21.875,22.0,14.803290367126465,36100
1994-08-02,21.75,22.0,21.75,22.0,14.803290367126465,65500
1994-08-03,21.875,21.875,21.875,21.875,14.719173431396484,1300
1994-08-04,22.0,22.0,21.75,21.875,14.719173431396484,4500
1994-08-05,21.875,21.875,21.875,21.875,14.719173431396484,1200
1994-08-08,21.875,21.875,21.5,21.625,14.550958633422852,2700
1994-08-09,21.375,21.5,21.25,21.25,14.298625946044922,1900
1994-08-10,21.125,21.375,21.125,21.375,14.382743835449219,9400
1994-08-11,21.375,21.375,21.0,21.0,14.130414009094238,5600
1994-08-12,21.0,21.25,21.0,21.0,14.130414009094238,16300
1994-08-15,21.125,21.125,20.75,20.75,13.962196350097656,3000
1994-08-16,20.625,20.625,19.0,19.75,13.289314270019531,174700
1994-08-17,20.0,20.25,19.875,20.0,13.45753288269043,43300
1994-08-18,19.75,20.0,19.5,19.625,13.205209732055664,29200
1994-08-19,19.875,20.0,19.75,19.875,13.373431205749512,40300
1994-08-22,19.875,20.0,19.75,19.75,13.289314270019531,1200
1994-08-23,20.0,20.25,19.875,20.125,13.54163646697998,31100
1994-08-24,20.25,20.375,20.125,20.375,13.709863662719727,5500
1994-08-25,20.375,20.375,20.125,20.125,13.54163646697998,40900
1994-08-26,20.25,20.25,19.25,19.375,13.108635902404785,92900
1994-08-29,19.5,20.0,19.5,20.0,13.531498908996582,12700
1994-08-30,20.0,20.0,19.75,19.875,13.446928024291992,4100
1994-08-31,20.0,20.0,19.5,19.5,13.193205833435059,18700
1994-09-01,19.75,19.75,19.625,19.75,13.362349510192871,34600
1994-09-02,19.875,19.875,19.75,19.875,13.446928024291992,44300
1994-09-06,20.0,20.25,20.0,20.25,13.700637817382812,9100
1994-09-07,20.25,20.25,19.875,20.0,13.531498908996582,17300
1994-09-08,20.125,20.25,20.0,20.0,13.531498908996582,10900
1994-09-09,20.0,20.0,19.875,19.875,13.446928024291992,1700
1994-09-12,19.75,19.875,19.75,19.75,13.362349510192871,2900
1994-09-13,19.625,19.75,19.5,19.5,13.193205833435059,51600
1994-09-14,19.75,19.75,19.5,19.5,13.193205833435059,88500
1994-09-15,19.5,19.875,19.5,19.875,13.446928024291992,3500
1994-09-16,19.625,20.0,19.625,19.875,13.446928024291992,29000
1994-09-19,19.875,20.0,19.625,19.875,13.446928024291992,4100
1994-09-20,19.875,19.875,19.125,19.5,13.193205833435059,83300
1994-09-21,19.25,19.5,19.25,19.5,13.193205833435059,16700
1994-09-22,19.625,19.625,18.875,19.0,12.8549222946167,13200
1994-09-23,19.0,19.25,19.0,19.0,12.8549222946167,647600
1994-09-26,19.0,19.375,18.75,19.375,13.108635902404785,19700
1994-09-27,19.5,19.5,19.0,19.0,12.8549222946167,12300
1994-09-28,19.25,19.375,19.25,19.375,13.108635902404785,2500
1994-09-29,19.375,19.625,19.375,19.5,13.193205833435059,86100
1994-09-30,19.5,20.0,19.5,20.0,13.531498908996582,80500
1994-10-03,20.0,20.125,20.0,20.125,13.616063117980957,74600
1994-10-04,20.0,20.25,20.0,20.125,13.616063117980957,20000
1994-10-05,20.25,20.25,20.0,20.25,13.700637817382812,38900
1994-10-06,20.125,20.75,20.125,20.75,14.03892993927002,148300
1994-10-07,20.625,20.875,20.625,20.75,14.03892993927002,1800
1994-10-10,21.0,21.25,21.0,21.25,14.377212524414062,5600
1994-10-11,21.375,21.875,21.25,21.875,14.800070762634277,30900
1994-10-12,21.75,21.875,21.625,21.875,14.800070762634277,1100
1994-10-13,22.0,22.25,22.0,22.0,14.884642601013184,11900
1994-10-14,22.125,22.375,21.875,22.375,15.138371467590332,4900
1994-10-17,22.25,22.25,22.0,22.0,14.884642601013184,1400
1994-10-18,21.75,21.75,21.375,21.625,14.630925178527832,6700
1994-10-19,21.5,21.625,21.5,21.625,14.630925178527832,1000
1994-10-20,21.375,21.375,20.75,20.75,14.03892993927002,33300
1994-10-21,20.875,20.875,20.625,20.625,13.954350471496582,93300
1994-10-24,20.5,20.75,20.5,20.75,14.03892993927002,2100
1994-10-25,20.75,20.75,20.25,20.25,13.700637817382812,13400
1994-10-26,20.375,20.5,20.25,20.25,13.700637817382812,2300
1994-10-27,20.375,20.5,20.25,20.375,13.78520679473877,3800
1994-10-28,20.5,20.75,20.5,20.75,14.03892993927002,3700
1994-10-31,20.5,20.625,20.5,20.625,13.954350471496582,12700
1994-11-01,20.375,20.375,20.0,20.0,13.531498908996582,24300
1994-11-02,20.125,20.125,20.0,20.0,13.531498908996582,17700
1994-11-03,20.0,20.0,19.75,19.75,13.362349510192871,24700
1994-11-04,19.75,20.25,19.75,19.875,13.446928024291992,17800
1994-11-07,20.0,20.0,19.75,19.75,13.362349510192871,9100
1994-11-08,19.75,20.0,19.75,20.0,13.531498908996582,13800
1994-11-09,20.0,20.0,19.75,19.75,13.362349510192871,13300
1994-11-10,20.0,20.0,19.75,19.75,13.362349510192871,30100
1994-11-11,19.5,19.5,19.125,19.25,13.02407169342041,120800
1994-11-14,19.375,19.375,19.125,19.25,13.02407169342041,3300
1994-11-15,19.25,19.5,19.25,19.25,13.02407169342041,4400
1994-11-16,19.125,19.25,19.0,19.25,13.02407169342041,10800
1994-11-17,19.0,19.375,19.0,19.0,12.8549222946167,54200
1994-11-18,19.0,19.25,18.875,19.25,13.02407169342041,6900
1994-11-21,19.25,19.375,19.25,19.25,13.02407169342041,1300
1994-11-22,19.125,19.25,19.125,19.125,12.93948745727539,1200
1994-11-23,19.375,19.5,19.0,19.0,12.8549222946167,18700
1994-11-25,19.0,19.125,18.625,19.125,13.014836311340332,11700
1994-11-28,18.875,18.875,18.75,18.875,12.844712257385254,12300
1994-11-29,18.875,19.0,18.625,18.625,12.674588203430176,52700
1994-11-30,18.5,18.625,17.875,18.0,12.249261856079102,164200
1994-12-01,18.25,18.375,18.125,18.25,12.419393539428711,2900
1994-12-02,18.25,18.375,18.25,18.375,12.5044584274292,14000
1994-12-05,18.5,18.625,18.375,18.625,12.674588203430176,97800
1994-12-06,18.5,18.625,18.375,18.375,12.5044584274292,5100
1994-12-07,18.5,18.5,18.375,18.375,12.5044584274292,8100
1994-12-08,18.375,18.375,18.25,18.25,12.419393539428711,9200
1994-12-09,18.125,18.375,18.125,18.375,12.5044584274292,6600
1994-12-12,18.5,18.5,18.25,18.375,12.5044584274292,2200
1994-12-13,18.5,18.5,18.375,18.375,12.5044584274292,4300
1994-12-14,18.375,18.375,18.125,18.375,12.5044584274292,23200
1994-12-15,18.25,18.25,17.0,17.5,11.909006118774414,213900
1994-12-16,17.75,17.875,17.5,17.75,12.079131126403809,32400
1994-12-19,17.875,17.875,17.5,17.625,11.994071006774902,18300
1994-12-20,17.625,18.0,17.625,17.625,11.994071006774902,11300
1994-12-21,17.75,17.75,17.125,17.125,11.653818130493164,101200
1994-12-22,17.0,17.25,17.0,17.0,11.56874942779541,38900
1994-12-23,17.0,17.375,17.0,17.375,11.823939323425293,4800
1994-12-27,17.5,17.75,17.25,17.75,12.079131126403809,17100
1994-12-28,17.5,17.75,17.5,17.75,12.079131126403809,5800
1994-12-29,17.75,17.75,17.0,17.5,11.909006118774414,70900
1994-12-30,17.5,17.75,17.25,17.75,12.079131126403809,41400
1995-01-03,17.75,17.75,17.5,17.75,12.079131126403809,22100
1995-01-04,17.75,17.75,16.9375,17.0,11.56874942779541,71300
1995-01-05,16.75,16.875,16.5,16.75,11.39862060546875,50500
1995-01-06,16.75,17.5,16.625,17.5,11.909006118774414,51900
1995-01-09,17.625,18.0,17.625,17.875,12.164199829101562,12800
1995-01-10,18.0,18.375,18.0,18.375,12.5044584274292,23500
1995-01-11,18.5,18.5,18.125,18.25,12.419393539428711,18700
1995-01-12,18.25,18.875,18.25,18.875,12.844712257385254,18300
1995-01-13,18.875,18.875,18.625,18.75,12.759651184082031,68000
1995-01-16,18.75,19.0,18.75,19.0,12.92978572845459,5000
1995-01-17,18.875,19.375,18.875,19.375,13.184965133666992,34400
1995-01-18,19.25,19.375,19.25,19.25,13.099905967712402,3400
1995-01-19,19.25,19.25,18.75,18.875,12.844712257385254,67200
1995-01-20,19.0,19.0,18.75,18.75,12.759651184082031,1400
1995-01-23,18.625,19.5,18.625,19.375,13.184965133666992,31800
1995-01-24,19.25,19.25,18.375,18.5,12.58951473236084,55700
1995-01-25,18.375,18.75,18.375,18.75,12.759651184082031,12300
1995-01-26,19.0,19.0,18.75,18.75,12.759651184082031,2700
1995-01-27,18.75,18.75,18.375,18.375,12.5044584274292,6600
1995-01-30,18.25,18.5,18.25,18.5,12.58951473236084,2700
1995-01-31,18.625,18.625,18.375,18.375,12.5044584274292,14400
1995-02-01,18.5,18.625,18.5,18.625,12.674588203430176,600
1995-02-02,18.625,18.75,18.5,18.5,12.58951473236084,3200
1995-02-03,18.625,18.75,18.625,18.75,12.759651184082031,700
1995-02-06,18.75,19.25,18.75,19.25,13.099905967712402,24500
1995-02-07,19.25,19.25,19.125,19.125,13.014836311340332,9000
1995-02-08,19.125,19.125,18.75,18.75,12.759651184082031,27700
1995-02-09,18.5,19.0,18.5,19.0,12.92978572845459,37500
1995-02-10,18.75,18.75,18.75,18.75,12.759651184082031,5000
1995-02-13,18.875,19.875,18.875,19.0,12.92978572845459,10100
1995-02-14,19.0,19.125,19.0,19.0,12.92978572845459,59300
1995-02-15,19.0,19.125,19.0,19.125,13.014836311340332,13400
1995-02-16,19.0,19.125,19.0,19.0,12.92978572845459,8600
1995-02-17,18.875,19.0,18.5,18.5,12.58951473236084,37200
1995-02-21,18.625,18.875,18.625,18.75,12.759651184082031,8800
1995-02-22,18.875,18.875,18.75,18.75,12.759651184082031,900
1995-02-23,18.75,18.75,18.625,18.75,12.834948539733887,900
1995-02-24,19.0,19.0,18.625,18.75,12.834948539733887,9700
1995-02-27,18.75,18.75,18.5,18.625,12.749384880065918,5000
1995-02-28,18.5,18.625,18.375,18.625,12.749384880065918,916800
1995-03-01,18.625,18.625,18.5,18.625,12.749384880065918,5300
1995-03-02,18.625,18.625,18.5,18.5,12.663808822631836,2900
1995-03-03,18.625,18.625,18.25,18.5,12.663808822631836,19200
1995-03-06,18.5,18.625,18.5,18.5,12.663808822631836,6800
1995-03-07,18.5,18.5,18.25,18.5,12.663808822631836,12400
1995-03-08,18.5,18.75,18.5,18.625,12.749384880065918,12900
1995-03-09,18.5,18.625,18.5,18.625,12.749384880065918,3100
1995-03-10,18.625,18.75,18.5,18.75,12.834948539733887,8800
1995-03-13,18.75,19.0,18.625,18.875,12.920512199401855,8100
1995-03-14,19.0,19.125,19.0,19.0,13.006088256835938,2300
1995-03-15,19.125,19.25,19.0,19.125,13.09164047241211,19700
1995-03-16,19.125,19.25,19.125,19.125,13.09164047241211,49600
1995-03-17,19.25,19.25,19.0,19.125,13.09164047241211,4900
1995-03-20,19.125,19.125,19.125,19.125,13.09164047241211,2300
1995-03-21,19.0,19.0,18.75,18.75,12.834948539733887,15500
1995-03-22,18.875,18.875,18.75,18.75,12.834948539733887,5300
1995-03-23,18.75,19.0,18.75,19.0,13.006088256835938,3200
1995-03-24,19.0,19.125,18.875,18.875,12.920512199401855,5800
1995-03-27,19.0,19.0,18.75,19.0,13.006088256835938,3100
1995-03-28,19.125,19.375,19.0,19.375,13.262774467468262,23100
1995-03-29,19.25,19.375,19.125,19.125,13.09164047241211,66800
1995-03-30,19.125,19.25,19.0,19.0,13.006088256835938,3200
1995-03-31,19.0,19.25,19.0,19.125,13.09164047241211,3400
1995-04-03,19.125,19.375,19.125,19.375,13.262774467468262,5500
1995-04-04,19.5,19.5,19.375,19.5,13.348342895507812,2200
1995-04-05,19.375,19.5,19.375,19.375,13.262774467468262,5000
1995-04-06,19.625,19.75,19.625,19.75,13.519472122192383,6000
1995-04-07,19.875,20.0,19.75,19.875,13.605043411254883,2500
1995-04-10,20.0,20.0,19.875,19.875,13.605043411254883,2200
1995-04-11,19.875,20.0,19.875,20.0,13.690610885620117,3200
1995-04-12,20.125,20.25,20.125,20.125,13.776177406311035,3300
1995-04-13,20.25,20.25,20.125,20.125,13.776177406311035,900
1995-04-17,20.25,20.25,20.0,20.125,13.776177406311035,5100
1995-04-18,20.125,20.25,20.0,20.125,13.776177406311035,40100
1995-04-19,20.125,20.125,20.0,20.125,13.776177406311035,700
1995-04-20,20.0,20.0,20.0,20.0,13.690610885620117,2800
1995-04-21,19.75,19.75,19.5,19.625,13.433905601501465,14300
1995-04-24,19.875,20.25,19.875,20.25,13.861746788024902,38300
1995-04-25,20.125,20.5,20.125,20.5,14.032875061035156,15800
1995-04-26,20.375,20.625,20.375,20.5,14.032875061035156,64400
1995-04-27,20.5,20.625,20.375,20.5,14.032875061035156,48200
1995-04-28,20.625,20.875,20.625,20.75,14.20400619506836,6600
1995-05-01,20.75,20.75,20.5,20.625,14.118439674377441,25300
1995-05-02,20.5,20.75,20.5,20.625,14.118439674377441,4100
1995-05-03,20.75,20.75,20.625,20.625,14.118439674377441,3600
1995-05-04,20.75,20.875,20.75,20.875,14.289578437805176,28000
1995-05-05,21.0,21.0,20.875,20.875,14.289578437805176,1300
1995-05-08,20.875,21.0,20.75,21.0,14.375140190124512,16500
1995-05-09,21.25,21.375,21.25,21.375,14.63183879852295,11600
1995-05-10,21.25,21.5,21.25,21.5,14.717400550842285,2600
1995-05-11,21.375,21.5,21.375,21.5,14.717400550842285,9400
1995-05-12,21.375,21.5,21.375,21.375,14.63183879852295,8900
1995-05-15,21.5,21.5,21.375,21.375,14.63183879852295,1400
1995-05-16,21.375,21.625,21.375,21.5,14.717400550842285,11300
1995-05-17,21.5,21.625,21.5,21.5,14.717400550842285,27000
1995-05-18,21.5,21.75,21.5,21.5,14.717400550842285,5500
1995-05-19,21.75,21.75,21.5,21.75,14.888543128967285,1900
1995-05-22,21.625,21.625,21.5,21.5,14.717400550842285,7000
1995-05-23,21.5,21.625,21.5,21.625,14.80296802520752,5300
1995-05-24,21.625,21.625,21.375,21.375,14.63183879852295,5200
1995-05-25,21.375,21.375,21.25,21.25,14.621511459350586,1200
