Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,15.125,15.3125,15.125,15.25,1.6276403665542603,390600
1985-01-03,15.3125,15.4375,15.125,15.125,1.6142996549606323,220200
1985-01-04,15.0625,15.1875,15.0,15.0625,1.6076288223266602,164400
1985-01-07,15.0625,15.125,14.9375,14.9375,1.5942882299423218,209400
1985-01-08,14.9375,15.125,14.9375,15.0,1.600958228111267,187600
1985-01-09,15.0,15.125,15.0,15.0,1.600958228111267,296400
1985-01-10,15.0,15.375,14.9375,15.25,1.6276403665542603,394200
1985-01-11,15.125,15.25,15.0625,15.1875,1.6209709644317627,563800
1985-01-14,15.1875,15.5,15.125,15.5,1.654323935508728,395600
1985-01-15,15.5625,15.9375,15.5625,15.8125,1.6876777410507202,1015400
1985-01-16,15.8125,15.9375,15.625,15.875,1.694347858428955,820000
1985-01-17,15.9375,15.9375,15.0625,15.3125,1.6343121528625488,493000
1985-01-18,15.4375,15.9375,15.4375,15.5625,1.6609936952590942,499000
1985-01-21,15.8125,16.25,15.625,16.25,1.734371542930603,1173600
1985-01-22,16.3125,16.5,16.25,16.375,1.7477134466171265,1006200
1985-01-23,16.5625,16.9375,16.5,16.875,1.8010785579681396,621200
1985-01-24,17.0625,17.4375,17.0625,17.1875,1.8344311714172363,1242200
1985-01-25,17.1875,17.5,17.125,17.5,1.8677846193313599,770000
1985-01-28,17.4375,17.875,17.375,17.6875,1.8877980709075928,1230200
1985-01-29,17.5,17.875,17.4375,17.8125,1.9011386632919312,417600
1985-01-30,18.0,18.0,17.625,17.6875,1.8877980709075928,560800
1985-01-31,17.625,17.75,17.125,17.6875,1.8877980709075928,534200
1985-02-01,17.25,17.625,17.25,17.4375,1.8611143827438354,736400
1985-02-04,17.3125,17.625,17.3125,17.5625,1.8744562864303589,295000
1985-02-05,17.5625,17.8125,17.5,17.75,1.8944674730300903,551800
1985-02-06,17.8125,17.875,17.5,17.5625,1.8744562864303589,295800
1985-02-07,17.5625,18.0,17.5625,17.8125,1.9011386632919312,687600
1985-02-08,17.875,17.9375,17.6875,17.9375,1.9144797325134277,440400
1985-02-11,17.8125,17.875,17.6875,17.75,1.9077624082565308,1769800
1985-02-12,17.6875,17.9375,17.625,17.875,1.921196460723877,413600
1985-02-13,17.875,18.4375,17.8125,18.4375,1.9816548824310303,878600
1985-02-14,18.4375,18.4375,18.125,18.125,1.9480657577514648,500000
1985-02-15,18.125,18.1875,17.875,18.0,1.9346325397491455,520600
1985-02-19,17.9375,18.0,17.875,17.9375,1.9279146194458008,327000
1985-02-20,18.0,18.1875,17.875,18.0625,1.9413496255874634,453600
1985-02-21,18.0625,18.1875,17.9375,18.125,1.9480657577514648,354400
1985-02-22,18.125,18.25,18.0,18.1875,1.9547847509384155,821800
1985-02-25,18.0,18.0625,17.8125,18.0,1.9346325397491455,216200
1985-02-26,18.0,18.375,17.9375,18.375,1.9749373197555542,999800
1985-02-27,18.5,18.875,18.375,18.625,2.001807928085327,774400
1985-02-28,18.625,18.9375,18.5625,18.9375,2.0353939533233643,306800
1985-03-01,19.375,19.5625,18.9375,19.5,2.095850706100464,784600
1985-03-04,19.375,19.375,18.5625,18.6875,2.0085222721099854,546600
1985-03-05,18.8125,19.0,18.625,18.875,2.028677225112915,355000
1985-03-06,19.0,19.125,18.625,18.625,2.001807928085327,294600
1985-03-07,18.5625,18.625,18.125,18.375,1.9749373197555542,432800
1985-03-08,18.3125,18.4375,18.1875,18.1875,1.9547847509384155,425800
1985-03-11,18.1875,18.25,17.9375,18.0625,1.9413496255874634,349800
1985-03-12,18.1875,18.25,18.0625,18.125,1.9480657577514648,209200
1985-03-13,18.125,18.3125,18.125,18.1875,1.9547847509384155,167400
1985-03-14,18.0625,18.625,18.0,18.375,1.9749373197555542,240400
1985-03-15,18.1875,18.25,18.0,18.0,1.9346325397491455,473600
1985-03-18,17.9375,18.0,17.25,17.375,1.8674571514129639,386600
1985-03-19,17.4375,17.75,17.25,17.75,1.9077624082565308,442400
1985-03-20,17.75,18.0,17.6875,17.8125,1.9144805669784546,339000
1985-03-21,17.8125,17.9375,17.6875,17.8125,1.9144805669784546,198200
1985-03-22,17.8125,18.0,17.75,17.875,1.921196460723877,364200
1985-03-25,17.9375,18.0625,17.75,17.9375,1.9279146194458008,271600
1985-03-26,17.9375,18.1875,17.9375,18.0,1.9346325397491455,255000
1985-03-27,18.0625,18.1875,18.0,18.0625,1.9413496255874634,189000
1985-03-28,18.125,18.125,17.75,17.8125,1.9144805669784546,338400
1985-03-29,17.875,18.125,17.75,18.125,1.9480657577514648,365000
1985-04-01,18.125,18.125,17.625,17.9375,1.9279146194458008,381200
1985-04-02,18.0,18.0625,17.5,17.625,1.8943262100219727,439200
1985-04-03,17.625,17.625,17.25,17.375,1.8674571514129639,247800
1985-04-04,17.1875,17.375,16.9375,17.0625,1.8338702917099,265800
1985-04-08,16.875,16.875,16.0,16.0625,1.7263904809951782,946600
1985-04-09,16.1875,16.25,16.0625,16.1875,1.7398258447647095,318400
1985-04-10,16.3125,16.9375,16.3125,16.8125,1.8070006370544434,622400
1985-04-11,17.125,17.5,17.0625,17.375,1.8674571514129639,644800
1985-04-12,17.4375,17.625,17.3125,17.5625,1.8876099586486816,345000
1985-04-15,17.625,17.75,17.5625,17.6875,1.9010448455810547,103800
1985-04-16,17.6875,17.875,17.4375,17.625,1.8943262100219727,320600
1985-04-17,17.875,18.0625,17.75,17.75,1.9077624082565308,484800
1985-04-18,18.0,18.125,17.5625,17.625,1.8943262100219727,245400
1985-04-19,17.75,17.75,17.4375,17.4375,1.8741748332977295,337600
1985-04-22,17.5,17.5,17.125,17.25,1.8540220260620117,140800
1985-04-23,17.25,17.6875,17.125,17.625,1.8943262100219727,479200
