Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,9.53125,9.625,9.46875,9.5,3.873980760574341,1460800
1985-01-03,9.375,9.4375,9.0625,9.0625,3.6955766677856445,3055600
1985-01-04,9.125,9.1875,8.8125,9.03125,3.6828320026397705,2186800
1985-01-07,9.03125,9.125,8.84375,8.90625,3.6318562030792236,1922000
1985-01-08,8.9375,9.03125,8.625,8.625,3.5171666145324707,4296000
1985-01-09,8.75,8.84375,8.625,8.8125,3.5936272144317627,4900000
1985-01-10,8.9375,9.3125,8.8125,9.25,3.772036552429199,5412000
1985-01-11,9.1875,9.1875,8.9375,9.0,3.6700894832611084,3935200
1985-01-14,8.96875,9.3125,8.96875,9.25,3.772036552429199,3116000
1985-01-15,9.375,9.5625,9.34375,9.4375,3.8484950065612793,8064000
1985-01-16,9.375,9.40625,9.09375,9.21875,3.759289264678955,3582000
1985-01-17,9.1875,9.28125,9.125,9.21875,3.759289264678955,3382000
1985-01-18,9.125,9.25,9.03125,9.1875,3.7465476989746094,3921200
1985-01-21,9.25,9.65625,9.25,9.59375,3.912213087081909,4716000
1985-01-22,9.6875,9.71875,9.59375,9.625,3.924954414367676,5400000
1985-01-23,9.5625,9.84375,9.5625,9.8125,4.0014142990112305,3305200
1985-01-24,9.6875,9.875,9.53125,9.625,3.924954414367676,3990400
1985-01-25,9.5625,9.65625,9.40625,9.46875,3.861237049102783,2058400
1985-01-28,9.46875,9.6875,9.4375,9.5625,3.8994672298431396,3938800
1985-01-29,9.53125,9.625,9.46875,9.625,3.924954414367676,3097200
1985-01-30,9.75,10.0,9.6875,9.84375,4.014157772064209,6164000
1985-01-31,9.84375,10.03125,9.8125,10.0,4.077874660491943,4504000
1985-02-01,9.90625,10.0625,9.90625,10.03125,4.090618133544922,3099200
1985-02-04,9.9375,10.0625,9.90625,10.0,4.077874660491943,2776000
1985-02-05,10.0625,10.15625,9.96875,10.0,4.077874660491943,3559200
1985-02-06,10.0,10.125,10.0,10.03125,4.090618133544922,2651600
1985-02-07,10.0625,10.34375,10.0625,10.21875,4.167079925537109,2586800
1985-02-08,10.25,10.46875,10.125,10.375,4.230795383453369,3095600
1985-02-11,10.34375,10.46875,10.28125,10.34375,4.218052864074707,1812000
1985-02-12,10.28125,10.6875,10.25,10.6875,4.358231067657471,3966800
1985-02-13,10.6875,10.96875,10.65625,10.84375,4.421945571899414,4068000
1985-02-14,10.75,10.84375,10.53125,10.5625,4.307257175445557,2517200
1985-02-15,10.53125,10.59375,10.3125,10.40625,4.243538856506348,2034800
1985-02-19,10.34375,10.5625,10.34375,10.53125,4.294510841369629,1910000
1985-02-20,10.5,10.5625,10.3125,10.34375,4.218052864074707,2660000
