Date,Open,High,Low,Close,Adj Close,Volume
1998-06-29,28.25,28.875,27.9375,28.5625,11.674361228942871,6307500
1998-06-30,28.4375,28.4375,27.75,27.8125,11.367815971374512,1537600
1998-07-01,27.75,28.0,27.125,27.875,11.393362998962402,593100
1998-07-02,27.75,27.75,27.25,27.6875,11.316728591918945,563600
1998-07-06,27.6875,27.6875,27.125,27.1875,11.1123628616333,616800
1998-07-07,27.1875,27.25,26.9375,27.0625,11.061273574829102,623500
1998-07-08,27.0625,27.25,27.0,27.25,11.137907981872559,392300
1998-07-09,27.125,27.1875,26.75,27.0,11.035724639892578,293100
1998-07-10,27.0,27.0,26.3125,27.0,11.035724639892578,384300
1998-07-13,26.75,26.9375,26.3125,26.875,10.98463249206543,385500
1998-07-14,26.8125,27.125,26.5,27.0,11.035724639892578,668400
1998-07-15,26.875,26.9375,26.5625,26.9375,11.010181427001953,232800
1998-07-16,26.8125,26.875,26.5,26.625,10.882455825805664,403600
1998-07-17,26.625,26.625,26.3125,26.5,10.83135986328125,543500
1998-07-20,26.3125,26.375,26.0,26.3125,10.754721641540527,542000
1998-07-21,26.1875,26.3125,25.875,26.0,10.626993179321289,218800
1998-07-22,26.0625,26.0625,25.75,26.0625,10.652543067932129,506500
1998-07-23,26.0625,26.375,26.0625,26.3125,10.754721641540527,446200
1998-07-24,26.125,26.1875,26.0,26.125,10.678086280822754,515800
1998-07-27,26.0,26.25,25.8125,26.1875,10.703635215759277,384800
1998-07-28,26.0625,26.1875,25.375,25.75,10.52481746673584,816900
1998-07-29,25.5625,25.75,25.0625,25.5,10.422628402709961,522200
1998-07-30,25.375,25.9375,25.3125,25.75,10.52481746673584,467900
1998-07-31,25.75,25.75,25.0,25.1875,10.29489803314209,386800
1998-08-03,25.0,25.125,24.5625,24.875,10.167174339294434,649200
1998-08-04,24.6875,24.6875,23.75,24.0625,9.835079193115234,617600
1998-08-05,24.25,25.125,24.125,25.125,10.269356727600098,501300
1998-08-06,25.125,25.125,24.5,24.75,10.116079330444336,568500
1998-08-07,24.625,24.8125,24.25,24.4375,9.988354682922363,351500
1998-08-10,24.5,25.0,24.5,24.75,10.116079330444336,749400
1998-08-11,24.5,24.5625,24.0,24.1875,9.88616943359375,358400
1998-08-12,24.1875,25.125,24.125,25.125,10.269356727600098,399000
1998-08-13,24.875,25.0625,24.6875,24.9375,10.192713737487793,206500
1998-08-14,24.6875,24.875,24.5,24.75,10.116079330444336,195700
1998-08-17,25.0,25.3125,24.8125,25.25,10.32044792175293,520500
1998-08-18,25.1875,25.25,24.75,25.0,10.218263626098633,450900
1998-08-19,24.9375,24.9375,24.625,24.875,10.167174339294434,302700
1998-08-20,25.0,25.125,24.875,25.0625,10.243813514709473,631900
1998-08-21,24.875,25.25,24.8125,25.25,10.32044792175293,459000
1998-08-24,25.375,25.625,25.3125,25.375,10.371532440185547,377900
1998-08-25,25.4375,25.75,25.375,25.75,10.52481746673584,585800
1998-08-26,25.625,25.6875,25.5,25.625,10.473721504211426,346000
1998-08-27,25.625,25.875,25.5625,25.5625,10.448172569274902,723600
1998-08-28,25.625,25.625,25.4375,25.625,10.473721504211426,346100
1998-08-31,25.5625,25.5625,24.875,25.4375,10.39708423614502,1312100
1998-09-01,25.1875,25.3125,24.5625,25.3125,10.345993041992188,446000
1998-09-02,25.0625,25.125,24.625,25.0625,10.243813514709473,1301000
1998-09-03,24.8125,25.0625,24.5625,25.0,10.218263626098633,267200
1998-09-04,25.125,25.25,24.8125,25.125,10.269356727600098,359300
1998-09-08,25.0625,25.3125,24.75,25.3125,10.345993041992188,198700
1998-09-09,25.3125,25.3125,25.0,25.25,10.32044792175293,216700
1998-09-10,25.125,25.375,25.0,25.3125,10.345993041992188,327200
1998-09-11,25.125,25.4375,24.9375,25.375,10.371532440185547,232300
1998-09-14,25.5,25.75,25.375,25.75,10.52481746673584,290300
1998-09-15,25.5625,26.4375,25.5625,26.3125,10.754721641540527,324900
1998-09-16,26.25,26.4375,26.0625,26.4375,10.805814743041992,1183500
1998-09-17,25.8125,26.0625,25.75,25.9375,10.760181427001953,1643800
1998-09-18,25.875,26.375,25.8125,26.3125,10.915746688842773,341900
1998-09-21,26.3125,26.4375,26.0625,26.3125,10.915746688842773,278200
1998-09-22,26.375,26.5,26.0625,26.0625,10.812039375305176,408700
1998-09-23,26.25,26.6875,26.125,26.6875,11.071314811706543,371500
1998-09-24,26.6875,26.6875,26.0625,26.25,10.889825820922852,724100
1998-09-25,26.0,26.4375,26.0,26.375,10.941678047180176,184900
1998-09-28,26.1875,26.5,26.0625,26.5,10.993534088134766,414100
1998-09-29,26.4375,26.875,26.4375,26.75,11.097244262695312,264200
1998-09-30,26.5,26.5,25.9375,26.0625,10.812039375305176,370300
1998-10-01,26.125,26.75,26.0625,26.6875,11.071314811706543,425100
1998-10-02,26.75,27.875,26.75,27.8125,11.5380277633667,635000
1998-10-05,27.8125,28.75,27.6875,28.6875,11.901021957397461,565700
1998-10-06,28.6875,29.0,28.3125,28.8125,11.952873229980469,691700
1998-10-07,28.875,29.3125,28.8125,29.1875,12.108438491821289,538800
1998-10-08,28.9375,28.9375,28.5,28.875,11.978805541992188,441000
1998-10-09,28.875,28.875,27.625,28.0,11.615806579589844,239400
1998-10-12,27.75,27.75,25.875,26.1875,10.863899230957031,319500
1998-10-13,26.4375,27.125,26.375,27.125,11.252809524536133,1144600
1998-10-14,27.625,28.0,27.375,27.6875,11.486170768737793,595200
1998-10-15,27.5625,27.6875,26.875,27.125,11.252809524536133,751700
1998-10-16,27.0,27.0,26.25,26.75,11.097244262695312,626600
1998-10-19,26.75,26.75,26.25,26.5,10.993534088134766,269300
1998-10-20,26.375,26.5,25.1875,25.3125,10.500895500183105,594500
1998-10-21,25.4375,25.9375,25.3125,25.375,10.526820182800293,376500
1998-10-22,25.25,26.0,25.0,26.0,10.786109924316406,990600
1998-10-23,26.0625,26.125,25.5625,25.8125,10.708324432373047,502300
1998-10-26,25.6875,25.8125,25.3125,25.5625,10.604615211486816,344200
1998-10-27,25.6875,25.9375,25.0625,25.3125,10.500895500183105,310600
1998-10-28,25.5625,26.0,25.5625,25.8125,10.708324432373047,332000
1998-10-29,25.8125,25.8125,25.5,25.625,10.63054370880127,198600
1998-10-30,25.875,26.0625,25.75,26.0,10.786109924316406,395700
1998-11-02,26.0,26.75,26.0,26.5625,11.019461631774902,427800
1998-11-03,26.5625,27.3125,26.5625,27.3125,11.330607414245605,331100
1998-11-04,27.4375,27.5625,26.5,26.875,11.149103164672852,339900
1998-11-05,26.75,26.8125,26.5,26.625,11.04539680480957,322000
1998-11-06,26.5,27.0625,26.5,26.5625,11.019461631774902,288900
1998-11-09,26.75,26.75,26.25,26.5625,11.019461631774902,231500
1998-11-10,26.625,26.6875,26.3125,26.625,11.04539680480957,624300
1998-11-11,26.5625,26.625,26.3125,26.3125,10.915746688842773,275400
1998-11-12,26.5,26.75,26.375,26.5,10.993534088134766,351500
1998-11-13,26.625,26.6875,25.71875,26.5,10.993534088134766,611700
1998-11-16,26.625,26.625,26.1875,26.3125,10.915746688842773,214500
1998-11-17,26.3125,26.5625,26.25,26.4375,10.967604637145996,317000
1998-11-18,26.375,26.375,25.8125,26.0,10.786109924316406,312200
1998-11-19,26.0,26.0,25.6875,25.8125,10.708324432373047,159000
1998-11-20,25.9375,25.9375,25.4375,25.875,10.7342529296875,209400
1998-11-23,25.9375,26.0625,25.8125,26.0625,10.812039375305176,230000
1998-11-24,26.0625,26.3125,25.8125,26.125,10.837967872619629,144700
1998-11-25,26.0,26.1875,25.9375,26.0,10.786109924316406,247800
1998-11-27,25.875,25.9375,25.5625,25.625,10.63054370880127,117900
1998-11-30,25.25,25.375,24.875,24.875,10.319405555725098,528400
1998-12-01,25.1875,25.5,25.0625,25.25,10.474967002868652,348100
1998-12-02,25.25,25.4375,25.1875,25.375,10.526820182800293,232600
1998-12-03,25.3125,25.4375,25.1875,25.25,10.474967002868652,212800
1998-12-04,25.5,26.0625,25.4375,25.625,10.63054370880127,450600
1998-12-07,25.5,25.8125,25.5,25.8125,10.708324432373047,149200
1998-12-08,25.9375,25.9375,25.5625,25.8125,10.708324432373047,121200
1998-12-09,25.75,25.875,25.6875,25.875,10.7342529296875,125200
1998-12-10,25.75,25.9375,25.5,25.5625,10.604615211486816,184000
1998-12-11,25.5625,25.8125,25.3125,25.5,10.57868480682373,284500
1998-12-14,25.5,25.5,25.1875,25.25,10.474967002868652,180600
1998-12-15,25.25,25.3125,25.0625,25.1875,10.449040412902832,192700
1998-12-16,25.3125,25.375,25.0,25.125,10.423113822937012,1162300
1998-12-17,24.875,24.9375,24.5625,24.625,10.37675952911377,1926900
1998-12-18,24.5625,25.0,24.5625,25.0,10.53477954864502,663800
1998-12-21,25.0625,26.0,25.0,25.4375,10.719144821166992,745400
1998-12-22,25.5,25.5625,25.125,25.25,10.64012622833252,373700
1998-12-23,25.3125,25.5,25.1875,25.4375,10.719144821166992,518800
1998-12-24,25.4375,25.625,25.4375,25.5,10.74548053741455,46700
1998-12-28,25.625,25.625,25.0625,25.1875,10.613795280456543,216600
1998-12-29,25.25,25.5,25.125,25.4375,10.719144821166992,277200
1998-12-30,25.375,25.625,25.3125,25.3125,10.666468620300293,182000
1998-12-31,25.3125,25.375,25.1875,25.375,10.692805290222168,248400
1999-01-04,25.3125,25.6875,25.25,25.5625,10.77181625366211,322800
1999-01-05,25.875,26.0,25.6875,26.0,10.956171989440918,441300
1999-01-06,25.9375,25.9375,25.4375,25.6875,10.824488639831543,441200
1999-01-07,25.5625,25.9375,25.5,25.6875,10.824488639831543,357200
1999-01-08,25.625,25.75,25.0625,25.3125,10.666468620300293,462600
1999-01-11,25.1875,25.25,24.4375,24.75,10.429436683654785,457100
1999-01-12,24.75,25.125,24.75,25.125,10.587457656860352,568600
1999-01-13,24.875,25.4375,24.875,25.125,10.587457656860352,398800
1999-01-14,25.0625,25.0625,24.625,24.875,10.482109069824219,497900
1999-01-15,25.0,25.0,24.6875,24.75,10.429436683654785,853900
1999-01-19,24.8125,24.875,24.5625,24.625,10.37675952911377,610500
1999-01-20,24.5625,24.75,24.125,24.125,10.166068077087402,625800
1999-01-21,24.375,24.625,24.3125,24.625,10.37675952911377,359800
1999-01-22,24.625,24.6875,24.3125,24.4375,10.297747611999512,218900
1999-01-25,24.0625,24.5625,24.0625,24.5625,10.35042667388916,280200
1999-01-26,24.5625,24.625,24.1875,24.375,10.271419525146484,251000
1999-01-27,24.375,24.5,24.125,24.3125,10.245076179504395,329500
1999-01-28,24.0,24.125,23.375,23.5,9.90269660949707,531300
1999-01-29,23.4375,23.4375,22.75,23.0,9.691999435424805,392800
1999-02-01,22.875,22.9375,22.5,22.625,9.533980369567871,317600
1999-02-02,22.5,22.5,22.0625,22.25,9.375960350036621,488400
1999-02-03,22.1875,22.8125,22.1875,22.8125,9.612992286682129,395300
1999-02-04,22.9375,22.9375,22.375,22.5625,9.507643699645996,274400
1999-02-05,22.4375,22.5,21.875,22.125,9.323283195495605,341500
1999-02-08,22.0625,22.8125,21.875,22.625,9.533980369567871,301400
1999-02-09,22.6875,22.75,22.25,22.3125,9.40229606628418,170600
1999-02-10,22.125,22.25,21.75,21.9375,9.244272232055664,286700
1999-02-11,21.6875,21.9375,21.625,21.75,9.165264129638672,252800
1999-02-12,21.625,21.8125,21.5,21.625,9.112590789794922,390600
1999-02-16,21.75,22.1875,21.6875,22.0625,9.296944618225098,533300
1999-02-17,22.0625,22.3125,21.75,21.75,9.165264129638672,646800
1999-02-18,21.8125,22.3125,21.6875,22.125,9.323283195495605,407200
1999-02-19,22.0,22.4375,21.9375,22.3125,9.40229606628418,602000
1999-02-22,22.3125,22.3125,21.3125,21.5625,9.086254119873047,912000
1999-02-23,21.5625,21.5625,21.1875,21.5625,9.086254119873047,627600
1999-02-24,21.625,21.75,21.25,21.3125,8.980902671813965,508900
1999-02-25,21.3125,21.4375,20.5625,20.9375,8.822876930236816,452500
1999-02-26,21.3125,21.375,20.8125,21.0,8.84921932220459,589800
1999-03-01,21.0,21.1875,20.875,21.125,8.901893615722656,598500
1999-03-02,21.125,21.3125,20.875,21.0625,8.875555992126465,616300
1999-03-03,21.1875,21.25,20.3125,20.625,8.691198348999023,529700
1999-03-04,20.8125,21.1875,20.5625,21.1875,8.928231239318848,884400
1999-03-05,21.1875,21.5625,21.1875,21.5,9.059914588928223,1155200
1999-03-08,21.5625,21.625,21.0625,21.25,8.954564094543457,486900
1999-03-09,21.25,21.3125,20.6875,20.75,8.74386978149414,609300
1999-03-10,20.8125,21.0625,20.5,20.5,8.63852310180664,1128100
1999-03-11,20.625,20.75,20.3125,20.5,8.63852310180664,941500
1999-03-12,20.625,20.9375,20.5625,20.9375,8.822876930236816,1338600
1999-03-15,20.9375,21.1875,20.9375,21.125,8.901893615722656,789600
1999-03-16,21.125,21.4375,21.125,21.4375,9.033576965332031,3539200
1999-03-17,21.0625,21.0625,20.5625,20.875,8.959537506103516,498800
1999-03-18,20.75,20.8125,20.5625,20.625,8.852238655090332,506200
1999-03-19,20.625,20.625,20.3125,20.375,8.744939804077148,466200
1999-03-22,20.375,20.5,20.125,20.4375,8.771764755249023,524400
1999-03-23,20.375,20.4375,19.9375,20.0,8.583992004394531,630700
1999-03-24,20.1875,20.5625,20.0,20.4375,8.771764755249023,811500
1999-03-25,20.4375,20.4375,19.9375,19.9375,8.55716323852539,541800
1999-03-26,20.0,20.0,19.6875,20.0,8.583992004394531,674800
1999-03-29,19.8125,20.125,19.8125,19.875,8.530342102050781,927900
1999-03-30,19.8125,19.875,19.25,19.25,8.262091636657715,518700
1999-03-31,19.3125,19.5,19.125,19.1875,8.235265731811523,717900
1999-04-01,19.0625,19.25,19.0625,19.25,8.262091636657715,721100
1999-04-05,19.25,19.3125,19.0625,19.25,8.262091636657715,511900
1999-04-06,19.25,19.375,19.0625,19.125,8.208441734313965,442200
1999-04-07,19.125,19.125,18.5,18.5,7.9401936531066895,567000
1999-04-08,18.5625,19.125,18.5,18.9375,8.12796401977539,712300
1999-04-09,18.8125,19.0,18.6875,18.875,8.101140975952148,559600
1999-04-12,18.8125,19.0625,18.6875,19.0625,8.181614875793457,659000
1999-04-13,19.0625,19.25,18.75,19.0,8.154789924621582,569000
1999-04-14,19.0,19.0625,18.75,18.75,8.047489166259766,381100
1999-04-15,19.125,19.25,18.875,19.0,8.154789924621582,902000
1999-04-16,19.375,19.5,19.25,19.5,8.369392395019531,536700
1999-04-19,19.875,20.25,19.5625,19.6875,8.449865341186523,641300
1999-04-20,19.8125,20.25,19.75,20.25,8.691291809082031,960300
1999-04-21,20.25,20.5625,20.0,20.1875,8.664464950561523,910300
1999-04-22,20.375,20.625,20.25,20.375,8.744939804077148,517500
1999-04-23,20.375,20.6875,20.3125,20.375,8.744939804077148,463100
1999-04-26,20.4375,21.0625,20.4375,21.0,9.013189315795898,905100
1999-04-27,21.0,21.3125,20.6875,21.25,9.120488166809082,588400
1999-04-28,21.3125,21.5,21.0625,21.25,9.120488166809082,389900
1999-04-29,21.4375,21.59375,21.0625,21.125,9.066839218139648,503200
1999-04-30,21.125,21.1875,20.5,20.75,8.905892372131348,480800
1999-05-03,20.875,21.0625,20.75,20.875,8.959537506103516,605700
1999-05-04,20.875,21.0,20.75,21.0,9.013189315795898,446100
1999-05-05,21.25,21.375,20.75,20.8125,8.932713508605957,614700
1999-05-06,20.8125,20.8125,20.5625,20.625,8.852238655090332,1010800
1999-05-07,20.625,20.75,20.5,20.6875,8.87906551361084,428600
1999-05-10,20.6875,21.25,20.625,21.125,9.066839218139648,986400
1999-05-11,21.25,21.625,21.125,21.4375,9.200966835021973,975100
1999-05-12,21.4375,21.6875,21.3125,21.5,9.227790832519531,1011200
1999-05-13,21.4375,22.0625,21.4375,21.875,9.388740539550781,828100
1999-05-14,21.9375,21.9375,21.5625,21.625,9.281442642211914,747000
1999-05-17,21.5625,21.625,21.3125,21.625,9.281442642211914,502200
1999-05-18,21.5625,21.6875,21.125,21.4375,9.200966835021973,432500
1999-05-19,21.625,21.625,21.3125,21.5,9.227790832519531,346000
1999-05-20,21.5,21.5,21.25,21.375,9.174139976501465,526100
1999-05-21,21.375,21.75,21.3125,21.625,9.281442642211914,1256900
1999-05-24,21.625,21.8125,21.375,21.6875,9.308267593383789,401600
1999-05-25,21.6875,22.125,21.6875,21.75,9.335087776184082,348900
1999-05-26,21.8125,22.125,21.625,22.0625,9.469215393066406,1568000
1999-05-27,21.8125,22.265625,21.75,21.875,9.388740539550781,1314700
1999-05-28,22.0,22.375,21.5,21.5,9.227790832519531,798300
1999-06-01,21.625,21.875,21.4375,21.875,9.388740539550781,469800
1999-06-02,21.8125,21.875,21.25,21.4375,9.200966835021973,343200
1999-06-03,21.4375,21.8125,21.4375,21.625,9.281442642211914,427700
1999-06-04,21.625,22.109375,21.625,22.0625,9.469215393066406,708300
1999-06-07,22.0,22.3125,21.9375,22.25,9.549690246582031,506400
1999-06-08,22.1875,22.4375,22.125,22.375,9.603343963623047,898900
1999-06-09,22.375,22.5625,22.1875,22.25,9.549690246582031,487100
1999-06-10,22.125,22.125,21.5625,21.5625,9.254616737365723,583000
1999-06-11,21.6875,21.9375,21.625,21.6875,9.308267593383789,389000
1999-06-14,21.875,22.3125,21.875,22.3125,9.576512336730957,534500
1999-06-15,22.25,22.8125,22.125,22.8125,9.79111385345459,964300
1999-06-16,22.8125,22.8125,22.4375,22.75,9.764286994934082,3780700
1999-06-17,22.5,22.5625,22.25,22.375,9.770840644836426,417000
1999-06-18,22.0625,24.0,22.0625,23.9375,10.453161239624023,2964500
1999-06-21,24.6875,24.875,22.8125,22.8125,9.961888313293457,5272300
1999-06-22,22.75,23.1875,22.625,22.875,9.989181518554688,933100
1999-06-23,22.8125,22.9375,22.5625,22.5625,9.852717399597168,399200
1999-06-24,22.75,22.9375,22.4375,22.4375,9.798135757446289,286300
1999-06-25,22.375,22.9375,22.375,22.5,9.825427055358887,666700
1999-06-28,22.625,23.125,22.625,22.8125,9.961888313293457,567300
1999-06-29,22.75,22.875,22.6875,22.75,9.934593200683594,403000
1999-06-30,22.6875,22.75,22.4375,22.625,9.880009651184082,593400
1999-07-01,22.625,22.6875,22.5,22.5625,9.852717399597168,339100
1999-07-02,22.5,22.5625,22.375,22.5625,9.852717399597168,306100
1999-07-06,22.4375,22.875,22.375,22.6875,9.907301902770996,432900
1999-07-07,22.375,22.625,22.375,22.625,9.880009651184082,282300
1999-07-08,22.5,22.625,22.375,22.5625,9.852717399597168,348200
1999-07-09,22.5,23.0625,22.5,23.0625,10.07105827331543,815500
1999-07-12,23.0625,23.125,22.8125,23.0,10.0437650680542,280300
1999-07-13,22.875,23.0,22.75,22.75,9.934593200683594,813400
1999-07-14,22.75,22.75,22.3125,22.6875,9.907301902770996,493800
1999-07-15,22.875,23.0625,22.75,23.0625,10.07105827331543,438400
1999-07-16,23.125,23.1875,23.0,23.125,10.09835147857666,470400
1999-07-19,23.0625,23.1875,22.8125,23.0625,10.07105827331543,483400
1999-07-20,23.0625,23.125,22.625,22.875,9.989181518554688,587000
1999-07-21,22.9375,23.125,22.8125,23.125,10.09835147857666,245400
1999-07-22,23.0,23.0625,22.8125,23.0625,10.07105827331543,188500
1999-07-23,23.0625,23.0625,22.5625,22.6875,9.907301902770996,334800
1999-07-26,22.6875,23.0625,22.6875,22.9375,10.016472816467285,139100
1999-07-27,22.875,23.0,22.5625,22.9375,10.016472816467285,234200
1999-07-28,22.75,22.75,22.4375,22.5,9.825427055358887,222000
1999-07-29,22.4375,22.4375,22.0,22.125,9.661666870117188,203800
1999-07-30,22.125,22.5625,22.0625,22.1875,9.688963890075684,262900
1999-08-02,22.25,22.75,22.125,22.375,9.770840644836426,214200
1999-08-03,22.375,22.5625,22.3125,22.4375,9.798135757446289,224600
1999-08-04,22.4375,22.4375,22.25,22.25,9.716254234313965,543800
1999-08-05,22.125,22.3125,21.8125,22.125,9.661666870117188,438500
1999-08-06,22.125,22.375,21.8125,22.25,9.716254234313965,293100
1999-08-09,22.125,22.5,22.0,22.125,9.661666870117188,294300
1999-08-10,22.0625,22.125,21.625,21.75,9.497912406921387,342500
1999-08-11,21.8125,22.25,21.8125,22.25,9.716254234313965,354600
1999-08-12,22.125,22.1875,22.0,22.1875,9.688963890075684,173700
1999-08-13,22.125,22.125,21.75,21.875,9.552494049072266,364000
1999-08-16,21.875,21.875,21.625,21.6875,9.47061824798584,577100
1999-08-17,21.8125,22.1875,21.75,22.125,9.661666870117188,344900
1999-08-18,22.125,22.125,21.8125,21.9375,9.579787254333496,190300
1999-08-19,21.8125,22.0625,21.625,22.0625,9.634374618530273,320100
1999-08-20,22.0,22.25,21.875,22.25,9.716254234313965,294400
1999-08-23,22.25,22.4375,22.125,22.4375,9.798135757446289,274900
1999-08-24,22.4375,22.5,22.125,22.375,9.770840644836426,198000
1999-08-25,22.5625,22.875,22.375,22.875,9.989181518554688,223800
1999-08-26,22.875,23.0,22.75,22.9375,10.016472816467285,240000
1999-08-27,22.875,23.0,22.8125,23.0,10.0437650680542,274700
1999-08-30,23.125,23.1875,22.5,22.5,9.825427055358887,480100
1999-08-31,22.5,22.6875,22.0625,22.3125,9.74354362487793,460600
1999-09-01,22.25,22.5,22.125,22.3125,9.74354362487793,380200
1999-09-02,22.1875,22.4375,21.8125,22.3125,9.74354362487793,256300
1999-09-03,22.25,22.6875,22.25,22.5625,9.852717399597168,270500
1999-09-07,22.625,22.625,22.0625,22.0625,9.634374618530273,421800
1999-09-08,22.125,22.1875,21.8125,21.9375,9.579787254333496,235700
1999-09-09,21.875,22.3125,21.75,22.25,9.716254234313965,396300
1999-09-10,22.25,22.375,22.1875,22.375,9.770840644836426,155800
1999-09-13,22.125,22.5,22.0625,22.375,9.770840644836426,351300
1999-09-14,22.375,22.4375,22.0,22.125,9.661666870117188,206600
1999-09-15,22.25,22.5625,22.25,22.3125,9.74354362487793,824400
1999-09-16,22.125,22.125,21.75,21.9375,9.750213623046875,2606500
1999-09-17,21.875,22.0625,21.875,21.9375,9.750213623046875,294100
1999-09-20,21.9375,22.0,21.5,21.5,9.55576229095459,283400
1999-09-21,21.4375,21.4375,21.0625,21.0625,9.36131763458252,513200
1999-09-22,21.0625,21.25,20.9375,21.0,9.333534240722656,217300
1999-09-23,21.0,21.0625,20.5625,20.625,9.166868209838867,213000
1999-09-24,20.5,20.75,20.5,20.5625,9.139086723327637,190900
1999-09-27,20.5,20.75,20.4375,20.5,9.111309051513672,246500
1999-09-28,20.1875,20.625,20.0,20.625,9.166868209838867,394500
1999-09-29,20.625,20.625,20.25,20.4375,9.08353042602539,217500
1999-09-30,20.4375,20.875,20.4375,20.8125,9.250201225280762,333000
1999-10-01,20.875,21.1875,20.6875,21.1875,9.416876792907715,380000
1999-10-04,21.125,21.75,21.125,21.375,9.50020694732666,578700
1999-10-05,21.375,21.375,20.6875,21.0625,9.36131763458252,1026800
1999-10-06,21.0625,21.1875,21.0,21.125,9.389095306396484,421800
1999-10-07,21.0,21.0625,20.5625,20.6875,9.194645881652832,443600
1999-10-08,20.8125,20.875,20.6875,20.875,9.277978897094727,262400
1999-10-11,20.625,21.0,20.5625,20.75,9.222424507141113,195300
1999-10-12,20.625,20.625,20.375,20.4375,9.08353042602539,233100
1999-10-13,20.4375,20.8125,20.375,20.5625,9.139086723327637,214500
