Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,0.0,13.4375,13.125,13.1875,4.741630554199219,430000
1985-01-03,0.0,13.1875,13.0,13.03125,4.685450077056885,156400
1985-01-04,0.0,13.0,12.59375,12.6875,4.561855316162109,1022800
1985-01-07,0.0,12.6875,12.375,12.4375,4.471966743469238,903600
1985-01-08,0.0,12.4375,11.84375,11.875,4.269716739654541,1368800
1985-01-09,0.0,12.03125,11.84375,12.03125,4.325897693634033,132800
1985-01-10,0.0,12.375,12.03125,12.25,4.404550075531006,1095200
1985-01-11,0.0,12.46875,12.28125,12.40625,4.460727691650391,342400
1985-01-14,0.0,12.46875,12.375,12.4375,4.471966743469238,646000
1985-01-15,0.0,12.5,12.40625,12.40625,4.460727691650391,374800
1985-01-16,0.0,12.5,12.4375,12.46875,4.483199596405029,1233200
1985-01-17,0.0,12.5,12.375,12.4375,4.471966743469238,613200
1985-01-18,0.0,12.5,12.375,12.5,4.494436264038086,461200
1985-01-21,0.0,12.53125,12.4375,12.53125,4.505671977996826,1608000
1985-01-22,0.0,13.125,12.53125,13.125,4.719160556793213,606800
1985-01-23,0.0,13.3125,13.125,13.3125,4.786576271057129,356000
1985-01-24,0.0,13.46875,13.3125,13.4375,4.831518173217773,278800
1985-01-25,0.0,13.5625,13.40625,13.5,4.853989601135254,87200
1985-01-28,0.0,13.59375,13.15625,13.1875,4.741630554199219,696800
1985-01-29,0.0,13.21875,12.875,13.03125,4.685450077056885,736800
1985-01-30,0.0,13.03125,12.875,12.96875,4.6629767417907715,433600
1985-01-31,0.0,13.28125,12.84375,13.25,4.764101505279541,460400
1985-02-01,0.0,13.8125,13.21875,13.8125,4.966355323791504,842400
1985-02-04,0.0,14.71875,13.75,14.71875,5.292200088500977,515600
1985-02-05,0.0,14.71875,14.375,14.53125,5.224782943725586,797600
1985-02-06,0.0,14.5625,14.34375,14.34375,5.157367706298828,945200
1985-02-07,0.0,14.40625,14.15625,14.21875,5.112421035766602,567600
1985-02-08,0.0,14.21875,14.125,14.21875,5.112421035766602,304000
1985-02-11,0.0,14.21875,14.0,14.0,5.0337700843811035,224400
1985-02-12,0.0,14.0,13.875,13.875,4.988827228546143,51200
1985-02-13,0.0,14.09375,13.875,14.03125,5.045004844665527,171200
1985-02-14,0.0,14.21875,14.03125,14.1875,5.101191520690918,409600
1985-02-15,0.0,14.28125,14.1875,14.28125,5.134894371032715,158400
1985-02-19,0.0,14.3125,14.25,14.25,5.123658657073975,686800
1985-02-20,0.0,14.375,14.28125,14.28125,5.134894371032715,946000
1985-02-21,0.0,14.3125,13.9375,14.0,5.0337700843811035,364000
1985-02-22,0.0,14.09375,13.90625,14.0625,5.056243419647217,169600
1985-02-25,0.0,14.09375,13.96875,14.0625,5.056243419647217,210400
1985-02-26,0.0,14.3125,14.0625,14.28125,5.134894371032715,399600
1985-02-27,0.0,14.34375,14.125,14.125,5.0787129402160645,5744800
1985-02-28,0.0,14.1875,14.0625,14.15625,5.089951038360596,93600
1985-03-01,0.0,14.28125,14.125,14.25,5.123658657073975,909200
1985-03-04,0.0,14.46875,14.1875,14.25,5.123658657073975,140000
1985-03-05,0.0,14.28125,14.21875,14.21875,5.112421035766602,762000
1985-03-06,0.0,14.28125,14.1875,14.21875,5.112421035766602,205600
1985-03-07,0.0,14.1875,13.9375,14.0,5.0337700843811035,106000
1985-03-08,0.0,14.03125,13.8125,13.8125,4.966355323791504,2201200
1985-03-11,0.0,13.90625,13.75,13.84375,4.9775919914245605,699200
1985-03-12,0.0,14.0,13.84375,14.0,5.0337700843811035,97200
1985-03-13,0.0,14.03125,13.96875,14.0,5.0337700843811035,464400
1985-03-14,0.0,14.0,13.9375,14.0,5.0337700843811035,90400
1985-03-15,0.0,14.0625,13.96875,13.96875,5.0225324630737305,64000
