Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,0.0,1.28125,1.25,1.25,1.1094660758972168,107200
1985-01-03,0.0,1.28125,1.25,1.28125,1.1372030973434448,116800
1985-01-04,0.0,1.28125,1.25,1.25,1.1094660758972168,280800
1985-01-07,0.0,1.28125,1.25,1.28125,1.1372030973434448,329600
1985-01-08,0.0,1.28125,1.25,1.25,1.1094660758972168,111200
1985-01-09,0.0,1.28125,1.25,1.28125,1.1372030973434448,90400
1985-01-10,0.0,1.28125,1.25,1.28125,1.1372030973434448,428800
1985-01-11,0.0,1.3125,1.265625,1.3125,1.1649384498596191,804800
1985-01-14,0.0,1.40625,1.3125,1.40625,1.2481492757797241,1611200
1985-01-15,0.0,1.4375,1.390625,1.4375,1.2758853435516357,760800
1985-01-16,0.0,1.5,1.40625,1.5,1.331358551979065,648000
1985-01-17,0.0,1.53125,1.46875,1.5,1.331358551979065,624000
1985-01-18,0.0,1.5625,1.4375,1.5625,1.3868319988250732,819200
1985-01-21,0.0,1.625,1.53125,1.625,1.4423049688339233,720000
1985-01-22,0.0,1.6875,1.625,1.625,1.4423049688339233,2535200
1985-01-23,0.0,1.65625,1.625,1.625,1.4423049688339233,640800
1985-01-24,0.0,1.65625,1.59375,1.59375,1.4145687818527222,397600
1985-01-25,0.0,1.734375,1.5625,1.6875,1.4977787733078003,2076000
1985-01-28,0.0,1.75,1.6875,1.71875,1.5255159139633179,774400
1985-01-29,0.0,1.71875,1.65625,1.71875,1.5255159139633179,288000
1985-01-30,0.0,1.75,1.6875,1.75,1.5532522201538086,1200800
1985-01-31,0.0,1.75,1.65625,1.6875,1.4977787733078003,1112800
1985-02-01,0.0,1.71875,1.65625,1.71875,1.5255159139633179,336000
1985-02-04,0.0,1.734375,1.6875,1.71875,1.5255159139633179,287200
1985-02-05,0.0,1.75,1.6875,1.71875,1.5255159139633179,603200
1985-02-06,0.0,1.78125,1.71875,1.78125,1.580989122390747,762400
1985-02-07,0.0,1.78125,1.75,1.78125,1.580989122390747,1684800
