Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,23.25,23.25,22.8125,23.0625,7.8976922035217285,112800
1985-01-03,23.0,23.125,22.875,23.0,7.8762898445129395,269000
1985-01-04,22.8125,22.8125,22.125,22.25,7.619455337524414,61600
1985-01-07,22.375,22.5,22.3125,22.3125,7.640856742858887,91200
1985-01-08,22.4375,22.5,22.375,22.5,7.705066204071045,154800
1985-01-09,22.625,23.1875,22.625,23.0,7.8762898445129395,208600
1985-01-10,22.9375,23.4375,22.9375,23.4375,8.026110649108887,87600
1985-01-11,23.5,23.5,23.0,23.0625,7.8976922035217285,153600
1985-01-14,23.0,23.3125,22.875,23.1875,7.9405012130737305,92400
1985-01-15,23.5625,23.625,23.5,23.625,8.090315818786621,133200
1985-01-16,23.8125,24.375,23.75,24.25,8.30434799194336,456400
1985-01-17,24.4375,24.5,24.1875,24.1875,8.28294849395752,124400
1985-01-18,24.0,24.0,23.8125,24.0,8.21873664855957,113600
1985-01-21,24.0,24.625,23.875,24.5,8.389958381652832,283800
1985-01-22,24.5625,24.75,24.5625,24.75,8.47557258605957,466400
1985-01-23,24.625,24.625,24.5,24.5625,8.411369323730469,161600
1985-01-24,24.5625,24.5625,24.0,24.125,8.261547088623047,297200
1985-01-25,23.875,23.875,23.5,23.625,8.090315818786621,331800
1985-01-28,23.75,24.0,23.625,23.9375,8.197330474853516,137200
1985-01-29,24.0,24.0,23.6875,24.0,8.21873664855957,53600
1985-01-30,24.0,24.0625,23.5,23.875,8.175928115844727,194400
1985-01-31,23.625,23.625,23.25,23.4375,8.026110649108887,287400
1985-02-01,23.5,23.5,23.3125,23.375,8.004703521728516,81200
1985-02-04,23.3125,23.375,23.25,23.25,7.9619011878967285,221400
1985-02-05,23.3125,23.3125,22.625,22.75,7.790683269500732,77400
1985-02-06,22.75,23.0,22.375,23.0,7.8762898445129395,399000
1985-02-07,23.0,23.5,23.0,23.375,8.004703521728516,137600
1985-02-08,23.5,23.75,23.375,23.75,8.133122444152832,127800
1985-02-11,23.875,23.875,23.5,23.625,8.090315818786621,248800
1985-02-12,23.5,23.5,23.3125,23.375,8.004703521728516,273000
1985-02-13,23.5,23.9375,23.375,23.9375,8.197330474853516,243800
1985-02-14,23.875,24.0,23.75,23.8125,8.154529571533203,241800
1985-02-15,23.875,23.875,23.5,23.75,8.133122444152832,61600
1985-02-19,23.875,24.0,23.875,24.0,8.21873664855957,235200
1985-02-20,23.875,23.9375,23.75,23.9375,8.197330474853516,77000
1985-02-21,24.0,24.1875,24.0,24.1875,8.28294849395752,228400
1985-02-22,24.25,24.5,24.25,24.25,8.30434799194336,941600
1985-02-25,23.9375,24.0,23.625,24.0,8.30434799194336,49600
1985-02-26,24.0625,24.125,24.0,24.0625,8.325977325439453,298200
1985-02-27,24.0,24.0,23.75,23.8125,8.239469528198242,123800
1985-02-28,23.6875,23.75,23.5,23.75,8.217845916748047,166200
1985-03-01,23.75,24.1875,23.75,24.1875,8.36922550201416,485600
1985-03-04,24.0625,24.0625,23.125,23.75,8.217845916748047,715400
1985-03-05,23.625,23.625,23.0,23.25,8.044838905334473,296400
1985-03-06,23.25,23.25,23.0,23.25,8.044838905334473,273600
1985-03-07,23.0,23.25,23.0,23.0,7.9583353996276855,240800
1985-03-08,23.125,23.1875,22.875,23.125,8.001588821411133,229600
1985-03-11,23.125,23.25,22.8125,23.0625,7.979959487915039,90200
1985-03-12,23.0,23.4375,23.0,23.1875,8.023213386535645,78000
1985-03-13,23.25,23.375,23.125,23.125,8.001588821411133,129200
1985-03-14,23.125,23.25,22.75,23.125,8.001588821411133,109600
1985-03-15,23.0,23.4375,23.0,23.0,7.9583353996276855,94800
1985-03-18,22.875,23.0,22.5,22.6875,7.850203514099121,133600
1985-03-19,22.6875,22.75,22.5,22.6875,7.850203514099121,83400
1985-03-20,22.625,22.8125,22.25,22.6875,7.850203514099121,142600
1985-03-21,22.75,23.125,22.75,23.0,7.9583353996276855,199800
1985-03-22,23.0,23.1875,23.0,23.0,7.9583353996276855,144000
1985-03-25,23.125,23.1875,23.0625,23.125,8.001588821411133,36200
1985-03-26,23.0625,23.25,22.9375,22.9375,7.936710357666016,307000
1985-03-27,22.8125,22.875,22.5,22.5,7.7853240966796875,35400
1985-03-28,22.5,22.75,22.5,22.625,7.828581809997559,101000
1985-03-29,22.5625,22.625,22.5,22.5,7.7853240966796875,576000
1985-04-01,22.5,22.75,22.4375,22.75,7.871833801269531,129400
1985-04-02,22.8125,22.8125,22.5,22.625,7.828581809997559,98200
1985-04-03,22.5,22.5625,22.125,22.125,7.655572891235352,185200
1985-04-04,22.125,22.25,22.0625,22.125,7.655572891235352,132200
1985-04-08,22.125,22.5625,22.0625,22.0625,7.633942604064941,109400
1985-04-09,22.0625,22.375,22.0625,22.0625,7.633942604064941,32600
1985-04-10,22.0625,22.0625,21.625,21.875,7.569066047668457,251600
1985-04-11,21.875,22.375,21.875,21.9375,7.59069299697876,139600
1985-04-12,21.9375,21.9375,21.9375,21.9375,7.59069299697876,153400
1985-04-15,21.9375,21.9375,21.8125,21.8125,7.547442436218262,230200
1985-04-16,21.8125,22.375,21.75,22.125,7.655572891235352,120200
1985-04-17,22.3125,22.375,22.1875,22.25,7.698822975158691,73800
1985-04-18,22.3125,22.4375,22.125,22.125,7.655572891235352,342800
1985-04-19,22.125,22.25,22.0,22.125,7.655572891235352,57000
1985-04-22,22.125,22.1875,21.875,21.875,7.569066047668457,18400
1985-04-23,21.8125,21.875,21.5,21.75,7.525816917419434,156200
1985-04-24,21.75,21.75,21.5,21.5,7.439319610595703,202400
1985-04-25,21.5,21.625,21.375,21.625,7.482560157775879,72200
1985-04-26,21.75,21.75,21.375,21.4375,7.417688369750977,169600
1985-04-29,21.375,21.375,20.625,20.625,7.1365485191345215,354400
1985-04-30,20.75,20.75,20.375,20.6875,7.158174991607666,144600
1985-05-01,20.9375,21.0625,20.625,20.6875,7.158174991607666,197200
1985-05-02,20.6875,20.75,20.4375,20.5,7.093297004699707,58200
1985-05-03,20.5,20.6875,20.25,20.5,7.093297004699707,402400
1985-05-06,20.625,20.75,20.3125,20.375,7.050044536590576,183400
1985-05-07,20.5,20.625,20.5,20.625,7.1365485191345215,211600
1985-05-08,20.625,20.6875,20.5,20.5,7.093297004699707,216600
1985-05-09,20.4375,21.0,20.4375,20.9375,7.244679927825928,663800
1985-05-10,21.125,21.875,21.125,21.75,7.525816917419434,226800
1985-05-13,21.6875,21.6875,21.4375,21.6875,7.5914483070373535,43400
1985-05-14,21.625,21.75,21.5,21.5,7.52581787109375,47200
1985-05-15,21.625,21.75,21.5625,21.75,7.613323211669922,42400
1985-05-16,21.6875,22.0,21.6875,22.0,7.700834274291992,69800
1985-05-17,21.9375,22.1875,21.75,22.0625,7.722712516784668,46000
1985-05-20,22.5,22.625,22.25,22.3125,7.8102192878723145,388800
1985-05-21,22.25,22.375,22.0625,22.375,7.832103252410889,91400
1985-05-22,22.25,22.3125,21.8125,21.875,7.657083988189697,161800
1985-05-23,21.75,22.25,21.5,22.1875,7.766468048095703,142000
1985-05-24,22.25,22.5,22.125,22.375,7.832103252410889,40400
1985-05-28,22.5,22.5,22.0,22.125,7.744589328765869,282200
1985-05-29,22.0625,22.3125,22.0,22.3125,7.8102192878723145,170000
1985-05-30,22.375,22.625,22.375,22.5,7.8758544921875,142800
1985-05-31,22.375,22.625,22.375,22.5625,7.897730827331543,108800
1985-06-03,22.75,22.9375,22.625,22.9375,8.0289945602417,184200
1985-06-04,23.0,23.1875,23.0,23.0625,8.072747230529785,84400
1985-06-05,24.0,24.125,23.75,24.0,8.400909423828125,227800
1985-06-06,23.875,24.375,23.6875,24.25,8.488417625427246,440000
1985-06-07,24.25,24.3125,23.625,23.75,8.313407897949219,80800
1985-06-10,23.75,23.875,23.75,23.8125,8.33527946472168,313600
1985-06-11,23.8125,24.125,23.8125,24.0,8.400909423828125,199400
1985-06-12,24.0,24.1875,23.75,23.875,8.357157707214355,390000
1985-06-13,23.875,23.875,23.25,23.3125,8.160256385803223,365400
1985-06-14,23.3125,23.4375,23.25,23.375,8.182134628295898,61200
1985-06-17,23.4375,23.8125,23.375,23.75,8.313407897949219,58000
1985-06-18,23.8125,24.25,23.6875,23.9375,8.3790283203125,168600
1985-06-19,23.875,23.9375,23.8125,23.875,8.357157707214355,329400
1985-06-20,23.9375,24.0625,23.625,24.0625,8.422786712646484,47200
1985-06-21,23.875,24.125,23.875,24.0625,8.422786712646484,138200
1985-06-24,24.0,24.0,23.75,23.9375,8.3790283203125,78200
1985-06-25,24.0,24.0625,23.8125,23.9375,8.3790283203125,174600
1985-06-26,23.875,23.875,23.75,23.8125,8.33527946472168,183400
1985-06-27,23.9375,23.9375,23.75,23.75,8.313407897949219,16400
1985-06-28,23.875,23.875,23.625,23.875,8.357157707214355,81800
1985-07-01,23.8125,23.8125,23.625,23.625,8.269652366638184,48200
1985-07-02,23.625,23.875,23.375,23.375,8.182134628295898,41800
1985-07-03,23.375,23.4375,23.125,23.1875,8.11650562286377,49200
1985-07-05,23.25,23.375,23.125,23.375,8.182134628295898,19200
1985-07-08,23.25,23.25,22.875,23.125,8.094626426696777,185200
1985-07-09,23.0,23.125,23.0,23.125,8.094626426696777,113600
1985-07-10,23.0,23.125,22.875,23.125,8.094626426696777,98600
1985-07-11,23.125,23.125,23.0,23.125,8.094626426696777,125000
1985-07-12,23.0,23.375,23.0,23.3125,8.160256385803223,181400
1985-07-15,23.3125,23.375,23.25,23.375,8.182134628295898,132200
1985-07-16,23.5,24.125,23.375,24.0625,8.422786712646484,252200
1985-07-17,24.125,24.5625,24.125,24.5625,8.597810745239258,183000
1985-07-18,24.625,24.75,24.5,24.6875,8.641559600830078,169600
1985-07-19,24.75,24.9375,24.75,24.9375,8.729074478149414,108200
1985-07-22,24.9375,25.375,24.9375,25.3125,8.86033821105957,435800
1985-07-23,25.3125,25.375,24.75,24.75,8.663442611694336,455200
1985-07-24,24.75,24.9375,24.625,24.75,8.663442611694336,305000
1985-07-25,24.75,24.8125,24.6875,24.75,8.663442611694336,61200
1985-07-26,24.75,24.875,24.625,24.875,8.707196235656738,55000
1985-07-29,24.75,24.75,24.5625,24.5625,8.597810745239258,42800
1985-07-30,24.4375,24.5,24.0,24.0,8.400909423828125,31600
1985-07-31,24.125,24.875,24.125,24.625,8.6196870803833,192800
1985-08-01,24.625,25.0,24.5,25.0,8.750954627990723,77400
1985-08-02,24.875,25.0,24.75,24.8125,8.685317993164062,32400
1985-08-05,24.8125,24.8125,24.25,24.25,8.488417625427246,89000
1985-08-06,24.25,24.625,23.75,23.75,8.313407897949219,65000
1985-08-07,23.75,24.1875,23.75,23.75,8.313407897949219,95600
1985-08-08,24.0,24.0,23.8125,24.0,8.400909423828125,77800
1985-08-09,23.875,23.9375,23.5625,23.6875,8.291524887084961,16000
1985-08-12,23.5625,23.75,23.5,23.5,8.225892066955566,42600
1985-08-13,23.375,23.5,23.125,23.125,8.094626426696777,42400
1985-08-14,23.0625,23.1875,23.0625,23.125,8.094626426696777,38600
1985-08-15,23.1875,23.1875,22.875,23.0,8.050870895385742,48000
1985-08-16,23.0,23.125,23.0,23.0,8.050870895385742,54800
1985-08-19,23.0625,23.375,22.9375,23.25,8.138385772705078,27200
1985-08-20,23.375,23.375,23.25,23.25,8.138385772705078,12600
1985-08-21,23.25,23.6875,23.25,23.6875,8.291524887084961,36800
1985-08-22,23.5625,23.8125,23.25,23.3125,8.160256385803223,70000
1985-08-23,23.375,23.375,23.25,23.375,8.182134628295898,59800
1985-08-26,23.25,23.25,23.125,23.25,8.22636604309082,28200
1985-08-27,23.375,23.375,23.375,23.375,8.270589828491211,16600
1985-08-28,23.375,23.6875,23.375,23.6875,8.381163597106934,28000
1985-08-29,23.625,23.75,23.625,23.75,8.403279304504395,23000
1985-08-30,24.0625,24.125,23.8125,24.0,8.491727828979492,52400
1985-09-03,24.0625,24.1875,23.9375,23.9375,8.469614028930664,36600
1985-09-04,23.875,23.875,23.5625,23.5625,8.336932182312012,72800
1985-09-05,23.5625,23.5625,23.375,23.5,8.314826011657715,116800
1985-09-06,23.375,23.4375,23.375,23.4375,8.292704582214355,12000
1985-09-09,23.375,23.5,23.25,23.25,8.22636604309082,53400
1985-09-10,23.1875,23.1875,22.875,22.875,8.093684196472168,48000
1985-09-11,22.75,22.875,22.625,22.625,8.005224227905273,68000
1985-09-12,22.5,22.625,22.25,22.25,7.872539520263672,37000
1985-09-13,22.125,22.25,22.0,22.1875,7.850431442260742,95000
1985-09-16,22.3125,22.75,22.125,22.375,7.916769504547119,22400
1985-09-17,22.6875,22.75,22.3125,22.625,8.005224227905273,25200
1985-09-18,22.625,22.875,22.5,22.8125,8.071568489074707,38200
1985-09-19,22.875,23.3125,22.875,23.1875,8.204252243041992,99200
1985-09-20,23.1875,23.625,22.9375,22.9375,8.115793228149414,66800
1985-09-23,23.25,23.5,23.25,23.375,8.270589828491211,49600
1985-09-24,23.1875,23.25,23.0,23.0,8.137909889221191,337600
1985-09-25,22.875,23.0,22.8125,22.875,8.093684196472168,202000
1985-09-26,22.875,23.0,22.75,23.0,8.137909889221191,114200
1985-09-30,22.9375,23.1875,22.9375,23.1875,8.204252243041992,44600
1985-10-01,23.0625,23.125,22.875,22.9375,8.115793228149414,43000
1985-10-02,22.9375,23.0,22.875,22.875,8.093684196472168,50800
1985-10-03,22.75,23.0,22.75,22.875,8.093684196472168,26600
1985-10-04,22.875,22.875,22.75,22.875,8.093684196472168,38400
1985-10-07,22.875,23.0625,22.8125,22.9375,8.115793228149414,72400
1985-10-08,22.8125,23.0625,22.8125,23.0,8.137909889221191,110800
1985-10-09,22.9375,22.9375,22.5,22.5,7.960999011993408,65800
1985-10-10,22.375,22.375,21.625,22.0,7.784085273742676,112000
1985-10-11,22.125,22.125,21.5,22.0,7.784085273742676,199600
1985-10-14,21.875,22.0,21.875,21.9375,7.761971950531006,12000
1985-10-15,21.9375,22.125,21.875,21.875,7.739861965179443,114600
1985-10-16,21.75,21.75,21.5,21.75,7.695626258850098,492400
1985-10-17,21.75,21.8125,21.5,21.5,7.607176303863525,811000
1985-10-18,21.6875,22.125,21.5625,21.875,7.739861965179443,268600
1985-10-21,21.875,22.0625,21.75,21.875,7.739861965179443,354000
1985-10-22,21.875,22.25,21.875,22.125,7.828314304351807,151800
1985-10-23,22.125,22.125,21.8125,21.8125,7.717745780944824,72200
1985-10-24,21.9375,22.0625,21.875,21.9375,7.761971950531006,173600
1985-10-25,21.9375,22.0625,21.9375,21.9375,7.761971950531006,43600
1985-10-28,21.875,21.875,21.375,21.4375,7.58506441116333,143200
1985-10-29,21.25,21.5,21.25,21.4375,7.58506441116333,273000
1985-10-30,21.4375,22.375,21.4375,22.3125,7.894655227661133,304400
1985-10-31,22.375,22.375,22.0,22.0625,7.806202411651611,85800
1985-11-01,21.9375,22.25,21.5,22.25,7.872539520263672,252000
1985-11-04,22.125,22.5625,22.125,22.5,7.960999011993408,194400
1985-11-05,22.5,23.0,22.375,23.0,8.137909889221191,177400
1985-11-06,23.0,23.0,22.4375,22.5,7.960999011993408,368600
1985-11-07,22.5,22.5,21.875,22.0,7.784085273742676,240600
1985-11-08,22.125,22.75,22.0,22.75,8.04945182800293,128800
1985-11-11,22.625,24.125,22.625,23.875,8.447504043579102,120600
1985-11-12,23.625,23.75,23.375,23.5,8.314826011657715,93000
